,Unnamed: 0,Title,Summary,Link,Time,Source,Category,Address,State,Zip
17,33,Off-duty deputy records Florida man standing in sunroof while traveling on I-4,"- A man spotted standing in the open sunroof of a moving vehicle faces charges after an off-duty Hillsborough County sheriff's deputy recorded video as he drove by, according to Florida Highway Patrol.

It happened Tuesday afternoon in Polk County, on Interstate 4.

FHP says dispatchers were called about a man standing in the open sunroof of a white Cadillac, headed west.

A trooper caught up with the Cadillac on US-98 and conducted a traffic stop.

The driver, 70-year-old Leonard Olsen, Jr., of Lakeland, was identified as the man in the off-duty deputy's video.

Continue reading below

FHP Trooper Ricky Binet wrote in his report he told Olsen he received reports of a man fitting Olsen's description sitting in the sunroof while traveling on I-4.

Olsen allegedly replied, ""I don't know about that.""

""Mr. Olsen stated that he wanted to turn himself in to an 'official' and asked if he could turn himself in to me. When asked 'why do you want to do that?' Mr. Olsen stated 'My wife treats me like a servant and she's the mistress and I'm tired of his [explitive],'"" the report states, adding, ""Mr. Olsen also stated, 'lock me up, I'd rather go to jail [than] go back home.'""

Olsen was detained and later admitted it was him sitting in the sunroof of his vehicle while cruise control was activated, the report states.

Olsen also allegedly told the trooper ""the car drives itself,"" and he ""thought it would be a nice way to praise God for a minute.""

Olsen was charged with misdemeanor reckless driving.",http://www.fox13news.com/news/local-news/off-duty-deputy-records-florida-man-standing-in-sunroof-while-traveling-on-i-4,2019-05-10T22:45:18Z,FOX 13 NEWS,Florida Man,"3213 W Kennedy Blvd, Tampa, FL 33609, USA",FL,33609
18,34,Florida man caught on camera standing in sunroof while driving on Interstate 4,"POLK COUNTY, Fla. - A Florida man was caught on camera standing in his sunroof while he was driving on Interstate 4 on Tuesday afternoon.

Leonard Olsen was charged with reckless driving.

The Florida Highway Patrol said a trooper pulled Olsen over around U.S. 98 and Wedgewood Estates Boulevard in Polk County.

Investigators said the trooper told Olsen they received reports of him sitting on his sunroof while driving on Interstate 4.

Troopers said Olsen told the investigator he wanted to turn himself in.

""My wife treats me like a servant and she's the mistress and I'm tired of this ****,"" Olsen told the investigator, according to report from FHP.

""Lock me up, I rather go to jail then go back home,"" he told the trooper.

Investigators showed Olsen the video of him standing in the sunroof while driving.

Troopers said an investigator asked if that was him in the video.

""Yes,sir,"" Olsen told the investigator.

Investigators said Olsen told the trooper the car was in cruise control.

""The car drives itself and has a gigantic computer in it,"" Olsen told the investigator.

Olsen explained to the trooper why was standing in the sunroof while driving.

""I thought it would be a nice way to praise God for a minute,"" he told the trooper.

Olsen's Cadillac was towed.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/florida-man-caught-on-camera-standing-in-sunroof-while-driving,2019-05-10T22:29:40Z,WKMG,Florida Man,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
19,35,WATCH: Florida man arrested for hanging out sunroof while driving on I-4,"LAKELAND, Fla. (WFLA) - A Florida man is facing a reckless driving charge after an off-duty deputy caught him hanging out of his sunroof while driving on I-4.

The incident happened Tuesday afternoon in Polk County and was caught on camera by an off-duty Hillsborough County deputy. The video shows the man, identified as 70-year-old Leonard Olsen Jr., standing up and hanging out of the sunroof of his car with his arms spread out as he's driving.

The deputy provided FHP with a license plate number, which led troopers to Olsen. When a trooper pulled him over and asked about him sitting on his sunroof, Olsen said, ""I don't know about that,"" according to an arrest report.

The arrest report states Olsen told the trooper he wanted to turn himself in because, ""my wife treats me like a servant and she's the mistress and I'm tired of this s***...lock me up, I'd rather go to jail than go back home.""

The deputy who witnessed the incident told troopers he saw Olsen bouncing back in forth in the center lane, then saw the man open the sunroof and get on top of the car. The deputy said he drove up next to the car and noticed no one else was in the car with Olsen. During his interview, the deputy told troopers Olsen sped up to over 100 mph at times then slowed to about 40 mph.

After he was arrested, troopers say Olsen admitted he sat on the sunroof but said the car was on cruise control. According to the arrest report, Olsen said, ""the car drives itself and has a gigantic computer in it.""

Troopers say Olsen added that he ""thought it would be a nice way to praise God for a minute, and I thought it would be nice at the time and that's what I did.""

Olsen was charged with reckless driving and his car was towed.",http://www.wfla.com/news/polk-county/watch-florida-man-arrested-for-hanging-out-sunroof-while-driving-on-i-4/1995230576,2019-05-10T21:33:24Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
20,36,Florida man arrested for hanging out sunroof while driving on I-4,,http://www.wfla.com/video/florida-man-arrested-for-hanging-out-sunroof-while-driving-on-i-4_20190510212307/1995205987,2019-05-10T21:23:25Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
21,39,Florida man accused of torturing little girl kills himself,"A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.An Escambia County Sheriff's Office spokeswoman says 37-year-old Andrew Bennett Ross Celauis died at a hospital Tuesday.Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.Investigators say Celauis filmed himself torturing the child. They say he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask.Investigators say the mother didn't know about the abuse. It was discovered when she brought the girl to the hospital for treatment of ringworm, which turned out to be burns.

A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.

An Escambia County Sheriff's Office spokeswoman says 37-year-old Andrew Bennett Ross Celauis died at a hospital Tuesday.

Advertisement

Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.

Investigators say Celauis filmed himself torturing the child. They say he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask.

Investigators say the mother didn't know about the abuse. It was discovered when she brought the girl to the hospital for treatment of ringworm, which turned out to be burns.

AlertMe",https://www.wesh.com/article/florida-man-accused-of-torturing-little-girl-kills-himself/27431147,2019-05-10T13:19:00Z,WESH-TV,Florida Man,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
22,41,Deputies: Florida man accused of torturing little girl kills himself,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Andrew Bennett Ross Celauis. (Photo: Escambia County Sheriff's Office)

PENSACOLA, Fla. (AP) - A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.

An Escambia County Sheriff's Office spokeswoman says 37-year-old Andrew Bennett Ross Celauis died at a hospital Tuesday.

Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.

Investigators say Celauis filmed himself torturing the child. They say he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask.",http://www.wfla.com/news/florida/deputies-florida-man-accused-of-torturing-little-girl-kills-himself/1994223215,2019-05-10T11:27:06Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
23,42,No charges for Florida man with obscene sticker on car,"LAKE CITY, Fla. - Charges have been dropped against a Florida man who refused to remove what a deputy considered an obscene sticker from his vehicle's window.

The State Attorney's Office in Columbia County filed court documents Thursday saying it won't prosecute Dillon Shane Webb, 23, who had been charged with obscenity and resisting an officer without violence. The filing said a valid defense could be raised under the First Amendment, which protects free speech.

An arrest report said a deputy stopped Webb in Lake City on Sunday because of a sexually explicit sticker. The deputy cited Webb for obscenity with a notice to appear in court.

Officials said the deputy told Webb to alter the sticker to change the derogatory part, but Webb refused. The deputy then charged Webb with resisting.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/no-charges-for-florida-man-with-obscene-sticker-on-car,2019-05-10T10:58:53Z,WKMG,Florida Man,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
24,43,"Florida man accused of torturing girl kills himself, deputies say","PENSACOLA, Fla. - A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.

An Escambia County Sheriff's Office spokeswoman said Andrew Bennett Ross Celauis, 37, died at a hospital Tuesday.

Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.

Investigators said Celauis filmed himself torturing the child. They said he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask, officials said.

Investigators said the mother didn't know about the abuse. It was discovered when she brought the girl to the hospital for treatment of ringworm, which turned out to be burns.



Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/florida-man-accused-of-torturing-girl-kills-himself-deputies-say,2019-05-10T10:43:25Z,WKMG,Florida Man,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
25,44,‘Florida Man' true crime TV show in the works,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

ORLANDO, Fla. (WESH) — A TV show about the Sunshine State’s most outrageous crimes is in the works.

Oxygen is developing a true crime series centered around the state’s “most outrageous, notorious and craftiest killers.”

“When the murder is so bizarre, the motive so far-fetched and the crime so outlandish that it sounds like something from a Hollywood screenplay—there’s a good chance it was actually committed by a “Florida Man,” a description of the series on Oxygen’s website reads.

The show, according to Oxygen, will unravel the strange twists and turns of Florida crimes and try to reason how and why Florida killers took their crimes to levels beyond comprehension.

The show will be called “Florida Man.” It will be produced by Blumhouse Television.

Read more abut the show here.",http://www.wfla.com/news/florida/florida-man-true-crime-tv-show-in-the-works/1993455116,2019-05-10T01:02:06Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
26,46,Florida Man Sentenced To Life For Murder He Blamed On Sleepwalking,"<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/randy-herman-jr.-mugshot.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/randy-herman-jr.-mugshot.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/randy-herman-jr.-mugshot.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A Florida man, who claimed to be sleepwalking when he stabbed his roommate to death a little over two years ago, will be spending the rest of his life behind bars.",https://miami.cbslocal.com/2019/05/09/florida-man-sentenced-to-life-for-murder-he-blamed-on-sleepwalking/,2019-05-09T18:17:23Z,CBS Miami,Florida Man,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
27,47,‘Florida Man’ true crime TV show in the works,"Show is being developed by Oxygen

A TV show about the Sunshine State’s most outrageous crimes is in the works.Oxygen is developing a true crime series centered around the state’s “most outrageous, notorious and craftiest killers.” “When the murder is so bizarre, the motive so far-fetched and the crime so outlandish that it sounds like something from a Hollywood screenplay—there’s a good chance it was actually committed by a “Florida Man,” a description of the series on Oxygen’s website reads. The show, according to Oxygen, will unravel the strange twists and turns of Florida crimes and try to reason how and why Florida killers took their crimes to levels beyond comprehension. The show will be called “Florida Man.” It will be produced by Blumhouse Television.Read more abut the show here.

A TV show about the Sunshine State’s most outrageous crimes is in the works.

Oxygen is developing a true crime series centered around the state’s “most outrageous, notorious and craftiest killers.”

“When the murder is so bizarre, the motive so far-fetched and the crime so outlandish that it sounds like something from a Hollywood screenplay—there’s a good chance it was actually committed by a “Florida Man,” a description of the series on Oxygen’s website reads.

The show, according to Oxygen, will unravel the strange twists and turns of Florida crimes and try to reason how and why Florida killers took their crimes to levels beyond comprehension.

The show will be called “Florida Man.” It will be produced by Blumhouse Television.

Read more abut the show here.

AlertMe",https://www.wesh.com/article/florida-man-tv-show/27422296,2019-05-09T18:13:00Z,WESH-TV,Florida Man,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
28,49,Want more Florida Man? Coming soon to TV near you,"You never know what Florida Man will do.

You probably see his outrageous antics every day in the news. Now, he’s getting his own TV show.

Officials with the Oxygen cable network announced it is developing a new series called “Florida Man” that will focus on “America’s most notorious, outrageous, craftiest killers from the Sunshine State,” according to network officials.

The show's description reads, “When the murder is so bizarre, the motive so far-fetched and the crime so outlandish that it sounds like something from a Hollywood screenplay—there’s a good chance it was actually committed by a 'Florida Man.'""

Produced by Blumhouse Television’s Jason Blum and Marci Wiseman and ""Man vs Robot’s"" Danny Villa and Sergio Villa, the show will feature access to Florida investigators and prosecutors to ""unravel the strange twists and turns and try in vain to reason how and why this breed of killers took their crimes to levels beyond comprehension.""

“Florida Man” is just one of five series and six greenlit projects in development by Oxygen.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/want-more-florida-man-coming-soon-to-a-tv-near-you,2019-05-09T16:36:28Z,WKMG,Florida Man,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
32,54,"FLORIDA MAN WANTED FOR ATTEMPTED MURDER: Nassau deputies looking for man wanted on attempted murder, robbery charges","Sign in using you account with: {* loginWidget *}

Sign in using your wjax profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.actionnewsjax.com/news/local/bolo-nassau-deputies-looking-for-man-wanted-on-attempted-murder-robbery-charges/948290130,2019-05-10T19:44:45Z,WJAX,Florida Man,"11700 Central Pkwy #2, Jacksonville, FL 32224, USA",FL,32224
33,57,"Florida man, 73, tells police he shot 'disrespectful' wife in the face, killing 47-year-old Marisa Sherman","Police investigators say Fernando De Baere told them he shot his wife, 47-year-old Marisa Sherman, because she wouldn't stop with the disrespectful talk.

PLANTATION — Authorities say a 73-year-old man shot his wife in the face inside their Florida home, and then walked to a neighbor's house and confessed that he'd killed her.

Plantation police investigators say Fernando De Baere told them he shot 47-year-old Marisa Sherman because she wouldn't stop with the disrespectful talk.

The SunSentinel reports the neighbor called 911 on Tuesday night. De Baere had blood splatters on his legs and boxer shorts. He told police he and his wife were arguing over her interactions with a former coworker.

A police report says De Baere says he took issue with ""the way that she was talking to him."" When she wouldn't stop talking, he got the gun and shot her.

He's charged with premeditated murder. A lawyer isn't listed on jail records.",https://www.theledger.com/news/20190510/florida-man-73-tells-police-he-shot-disrespectful-wife-in-face-killing-47-year-old-marisa-sherman?rssfeed=true,2019-05-10T14:27:07Z,The Ledger,Florida Man,"300 W Lime St, Lakeland, FL 33815, USA",FL,33815
34,66,Charges dropped against Florida man arrested for 'obscene' sticker,"JACKSONVILLE, Fla. - Charges have been dropped against a Lake City man who was arrested for having a window sticker on the rear window of his truck that deputies with the Columbia County Sheriff's Office said violated Florida's obscenity law.

Dillon Shane Webb, 23, was arrested Sunday and charged with misdemeanor counts of violating Florida's obscenity law and resisting an officer without violence, a Columbia County Sheriff's Office report said. Webb was released on a $2,500 bond.

In a filing from the State Attorney's Office, prosecutors told the court the charges were being dropped against Webb.

The Bonderud Law Firm of Jacksonville, which is representing Webb, released the following statement on Facebook, which includes the the filing from the State Attorney's Office:

A deputy stopped Webb in Lake City because of a vehicle sticker crudely describing a sexual appetite, the sheriff's report said. When told about the reason for the stop, Webb reportedly said, ""They're just words.""

The deputy initially cited Webb for obscenity with a notice to appear in court, the report said. The deputy told Webb to alter the sticker to change the derogatory part, but Webb refused.

Webb said he wasn't even of the state's obscenity law, but after reviewing it since his arrest, he said it needs to be changed.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/florida/charges-dropped-against-florida-man-arrested-for-obscene-sticker,2019-05-09T20:14:01Z,WJXT,Florida Man,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
