,Title,Summary,Link,Time,Section,Subsection,Category,State
449,NEW PALACE FOR NICARAGUA; Florida Man Is Drawing Plans for a Presidential Home.,Plans,https://www.nytimes.com/1929/03/22/archives/new-palace-for-nicaragua-florida-man-is-drawing-plans-for-a.html,1929-03-22T05:00:00+0000,Archives,Archives,Florida Man,National
450,BUILDS NEW HELICOPTER; Florida Man Adds Lifting Device to to Monoplane as Safety Feature.,J C Johnson describes invention,https://www.nytimes.com/1929/03/15/archives/builds-new-helicopter-florida-man-adds-lifting-device-to-to.html,1929-03-15T05:00:00+0000,Archives,Archives,Florida Man,National
451,"FINDS FLORIDA MAN OF 20,000 YEARS AGO; Natural History Museum Tells of Petrified Skeleton Which May Alter Theories. ALASKAN WORK IMPORTANT Many Tracks Left 250,000,000 Years Ago by Animals Are Unearthed in Alabama. Discovers Fossil Footprints. Alaskan Finds Important. Petrified Ccocodile Traced.",Rept of Amer Museum of Natural History on discovery of fossil footprints,https://www.nytimes.com/1930/01/29/archives/finds-florida-man-of-20000-years-ago-natural-history-museum-tells.html,1930-01-29T05:00:00+0000,Archives,Archives,Florida Man,National
452,Florida Man Named to Tariff Body.,F Clark of Fla nominated to succeed Costigan,https://www.nytimes.com/1928/03/22/archives/florida-man-named-to-tariff-body.html,1928-03-22T05:00:00+0000,Archives,Archives,Florida Man,National
453,"TRIED TO WHIP SOUTH INTO LINE ON TARIFF; Arnold Organization's Drive for Higher Rates Draws Fire at Senate Inquiry. HIS CORRESPONDENCE READ Florida Man Wrote Witness of 'Building a Fire' There Under Senator Fletcher. Wrote That He Would ""See"" Hoover Walsh Interprets the Letters. TRIED TO WHIP SOUTH INTO LINE ON TARIFF Not Sure of Kendrick's Stand. Witness Denies ""Trading."" As to Railroad Interests. Thought Lines Should Contribute. Names Senators He Visited. Attempted to Defeat Garner. Wrote of Finance Committee. Wanted Protectionists Elected. Planned to Impress Senators.",J A Arnold testifies before Sen lobby com on efforts of Southern tariff Assn to force Southern Dem Sens to support protective tariff rates,https://www.nytimes.com/1929/11/02/archives/tried-to-whip-south-into-line-on-tariff-arnold-organizations-drive.html,1929-11-02T05:00:00+0000,Archives,Archives,Florida Man,National
454,"CITY RELIEF FUND REACHES $573,522; Florida Man Here Tells How Red Cross Got Into Action Just After Storm. HE RACED 70 MILES IN AUTO Rescuers Toiled in Water Up to Their Waists Removing Hungry Refugees From Trees. Raced 70 Miles in Automobile. Catholic Relief Mission Sails. New Rochelle Exceeds Quota.",Fund grows in N Y C; list of donors; New Rochelle oversubscribes to fund,https://www.nytimes.com/1928/09/30/archives/city-relief-fund-reaches-573522-florida-man-here-tells-how-red.html,1928-09-30T05:00:00+0000,Archives,Archives,Florida Man,National
456,"BROOKLYN MAN-BUYS WHITE PLAINS HOUSE; F. Copp Gets English Manor, House on Quarter-Acre Plot on Hartsdale Road. GREENACRES PLOT IS SOLD Florida Man Purchases Five-Acre Estate at Westport, Conn. -- Woman Acquires Farm.",Buys White Plains house,https://www.nytimes.com/1927/09/18/archives/brooklyn-manbuys-white-plains-house-f-copp-gets-english-manor-house.html,1927-09-18T05:00:00+0000,Archives,Archives,Florida Man,National
457,TRIES SUICIDE IN HOTEL.; Ill Health Given as Motive for Florida Man's Act at the Lucerne.,"Bryant, B J, attempt",https://www.nytimes.com/1926/08/11/archives/tries-suicide-in-hotel-ill-health-given-as-motive-for-florida-mans.html,1926-08-11T05:00:00+0000,Archives,Archives,Florida Man,National
458,"ARMY DESERTER SLAIN AS ROBBER; Florida Man Is Shot Near Ithaca After Attempting, With Two Others, to Rob Woman of 70.","Salisbury (Mrs), Julia, attempt; W Roe slain, his companions, R Moore and R Oliver, arrested",https://www.nytimes.com/1925/12/14/archives/army-deserter-slain-as-robber-florida-man-is-shot-near-ithaca-after.html,1925-12-14T05:00:00+0000,Archives,Archives,Florida Man,National
459,FLORIDA MAN WINS COUNTESS BY MAIL; W.H. Meyers Weds Niece of Slain Empress Elizabeth of Austria.,Married Countess Marie Larisch Aug 16 last,https://www.nytimes.com/1924/11/26/archives/florida-man-wins-countess-by-mail-wh-meyers-weds-niece-of-slain.html,1924-11-26T05:00:00+0000,Archives,Archives,Florida Man,National
460,SENT THREAT TO COOLIDGE.; Florida Man Is Held for Denouncing President for Bonus Veto.,L Nelson held for lr threatening Pres Coolidge for veto,https://www.nytimes.com/1924/08/05/archives/sent-threat-to-coolidge-florida-man-is-held-for-denouncing.html,1924-08-05T05:00:00+0000,Archives,Archives,Florida Man,National
461,McDOWELL GETS LIFE.; New Trial Denied to Florida Man Who Slew Four of His Family.,sentenced to life imprisonment for murder of 4 of his family,https://www.nytimes.com/1924/06/22/archives/mcdowell-gets-life-new-trial-denied-to-florida-man-who-slew-four-of.html,1924-06-22T05:00:00+0000,Archives,Archives,Florida Man,National
462,GIRL OF 18 IS ACCUSED IN DEATH OF HUSBAND; Brother and Friend Are Also Arrested for Alleged Poisoning of 73-Year-Old Florida Man.,"Wood, L, dead; Mrs. Wood, brother and friend held for alleged poisoning",https://www.nytimes.com/1923/10/21/archives/girl-of-18-is-accused-in-death-of-husband-brother-and-friend-are.html,1923-10-21T05:00:00+0000,Archives,Archives,Florida Man,National
463,'WELCOME STRANGER' A HIT.; Florida Man Says Movement Here Appeals to Southerners.,,https://www.nytimes.com/1922/08/20/archives/welcome-stranger-a-hit-florida-man-says-movement-here-appeals-to.html,1922-08-20T05:00:00+0000,Archives,Archives,Florida Man,National
464,GUARD JAILED NEGROES WHO ATTACHED WOMAN; Florida Man Shot in Defending Wife in North Carolina While on Auto Trip.,,https://www.nytimes.com/1922/08/05/archives/guard-jailed-negroes-who-attached-woman-florida-man-shot-in.html,1922-08-05T05:00:00+0000,Archives,Archives,Florida Man,National
466,THREAT TO KILL WILSON.; Florida Man Also Accused of Offering to Sell Ship-Destroying Device.,,https://www.nytimes.com/1917/05/05/archives/threat-to-kill-wilson-florida-man-also-accused-of-offering-to-sell.html,1917-05-05T05:00:00+0000,Archives,Archives,Florida Man,National
467,SHARK KILLS A FISHERMAN.; Florida Man's Leg Chewed Up by Monster Caught In a Net.,J. L. Hanscom dies from bite from monster caught in net,https://www.nytimes.com/1916/10/12/archives/shark-kills-a-fisherman-florida-mans-leg-chewed-up-by-monster.html,1916-10-12T05:00:00+0000,Archives,Archives,Florida Man,National
469,SAW CAESAR YOUNG SHOT?; Florida Man Says He Told Jerome Same Story as Nan Patterson.,,https://www.nytimes.com/1905/01/02/archives/saw-caesar-young-shot-florida-man-says-he-told-jerome-same-story-as.html,1905-01-02T05:00:00+0000,Archives,Archives,Florida Man,National
470,SAY THEY STOLE TWO TRUNKS.; Accused of Posing as Owners of Florida Man's Baggage.,,https://www.nytimes.com/1904/07/25/archives/say-they-stole-two-trunks-accused-of-posing-as-owners-of-florida.html,1904-07-25T05:00:00+0000,Archives,Archives,Florida Man,National
471,"FLORIDA MAN'S SUICIDE.; Jacksonville Manufacturer, in Business Trouble, Takes Cocaine.",,https://www.nytimes.com/1901/10/28/archives/florida-mans-suicide-jacksonville-manufacturer-in-business-trouble.html,1901-10-28T05:00:00+0000,Archives,Archives,Florida Man,National
472,"Florida Man Loses $17,600.",,https://www.nytimes.com/1899/12/14/archives/florida-man-loses-17600.html,1899-12-14T05:00:00+0000,Archives,Archives,Florida Man,National
473,Florida Man Killed from Ambush.,,https://www.nytimes.com/1899/12/10/archives/florida-man-killed-from-ambush.html,1899-12-10T05:00:00+0000,Archives,Archives,Florida Man,National
474,DAMAGE BY BRYAN'S TROOPS.; Florida Man Asks $30 for a Fence Pulled Up by the Third Nebraska -- Claimant Referred to Congress.,,https://www.nytimes.com/1900/04/29/archives/damage-by-bryans-troops-florida-man-asks-30-for-a-fence-pulled-up.html,1900-04-29T05:00:00+0000,Archives,Archives,Florida Man,National
