,Title,Summary,Link,Time,Section,Subsection,Category,State
301,Florida Woman Dies Attached to a Tube; Legal Fight Goes On,,https://www.nytimes.com/1989/07/19/us/florida-woman-dies-attached-to-a-tube-legal-fight-goes-on.html,1989-07-19T05:00:00+0000,U.S.,U.S.,Florida Woman,National
321,Tornado Kills Florida Woman,,https://www.nytimes.com/1987/04/16/us/tornado-kills-florida-woman.html,1987-04-16T05:00:00+0000,U.S.,U.S.,Florida Woman,National
369,Florida Woman Heads Nurses' Research Unit,Elections; A E M Anderson pres,https://www.nytimes.com/1959/02/04/archives/florida-woman-heads-nurses-research-unit.html,1959-02-04T05:00:00+0000,Archives,Archives,Florida Woman,National
370,News of Food: Cooking With Roses; Second Volume on This Subject Is Published by Florida Woman Lore and History of the Flower Described -- 2 Recipes Listed,,https://www.nytimes.com/1959/08/25/archives/news-of-food-cooking-with-roses-second-volume-on-this-subject-is.html,1959-08-25T05:00:00+0000,Archives,Archives,Florida Woman,National
371,"i Florida Woman, 100, Dies","Van Voorhis, (Mrs) Belle M",https://www.nytimes.com/1955/05/06/archives/i-florida-woman-100-dies.html,1955-05-06T05:00:00+0000,Archives,Archives,Florida Woman,National
372,WITNESS WIDENS ATTACK ON F.C.C.; Florida Woman's Turnabout Testimony Called Blow to Case Against Lamb,FCC hearings on Lamb case; Mrs M Natvig continues testimony charging FCC ex-atty W R Powell forced her to lie by linking Lamb to communism; tells of bad opinion FCC and its staff held about examiner H Sharfman; he comments,https://www.nytimes.com/1955/02/17/archives/witness-widens-attack-on-fcc-florida-womans-turnabout-testimony.html,1955-02-17T05:00:00+0000,Archives,Archives,Florida Woman,National
373,HIGHWAY KILLER CAUGHT; Costa Rican Police Say Bandit Admits Shooting Florida Woman,"Slayer of Mrs T O Trulock and Sen Gutierrez child seized, San Jose",https://www.nytimes.com/1952/01/03/archives/highway-killer-caught-costa-rican-police-say-bandit-admits-shooting.html,1952-01-03T05:00:00+0000,Archives,Archives,Florida Woman,National
374,Florida Woman Is Dead at 109,"Hannong, (Mrs) Lucretia H, 109",https://www.nytimes.com/1951/05/17/archives/florida-woman-is-dead-at-109.html,1951-05-17T05:00:00+0000,Archives,Archives,Florida Woman,National
375,"CLAIM ON $250,000 UPHELD; Court Finds Florida Woman Was F.F. Arnold's Sister",Mrs A G Dolan estate claim upheld,https://www.nytimes.com/1950/09/29/archives/claim-on-250000-upheld-court-finds-florida-woman-was-ff-arnolds.html,1950-09-29T05:00:00+0000,Archives,Archives,Florida Woman,National
376,OBJECTS TO 'CROSS CREEK'; Florida Woman Tells Jury the Book Made 'Hussy of Lady',"Z Cason testifies in libel suit involving book, Cross Creek",https://www.nytimes.com/1946/05/22/archives/objects-to-cross-creek-florida-woman-tells-jury-the-book-made-hussy.html,1946-05-22T05:00:00+0000,Archives,Archives,Florida Woman,National
378,"GIFT FOR NEEDIEST HONORS A BOMBER; Donor Cites Loss of War Flane With 10 Soldiers Aboard-- Other Heroes Recalled FUND EXPANDS TO $141,205 429 Contributors in Single Day Add $22,809, With End of Campaign Near at Hand Florida Woman Forwaras Check Boy Sends Aid for Twins. Many Send in Contributions CASE 106 An Invalid Mother Amount needed, $240. CASE 103 Girl of 17 Amount needed, $269. CASE 104 Fighting for Health CASE 110 Fatherless Family Amount needed, $528. CASE 108 A Nurse Ill Amount needed, $180. CASE 101 To Give a Boy a Home Amount needed, $398. CASH 112 Dying of Cancer Amount needed, $533. CASE 113 To Tide Them Through Amount needed, $296. CASE 102 Twice Stricken",gifts,https://www.nytimes.com/1945/12/18/archives/gift-for-neediest-honors-a-bomber-donor-cites-loss-of-war-flane.html,1945-12-18T05:00:00+0000,Archives,Archives,Florida Woman,National
379,"FLoRIDA WOMAN TO WED; I Mrs, Antoinette Johnsori to BeI Bride of C. H, Palmer I | ",,https://www.nytimes.com/1942/03/21/archives/florida-woman-to-wed-i-mrs-antoinette-johnsori-to-bei-bride-of-c-h-.html,1942-03-21T05:00:00+0000,Archives,Archives,Florida Woman,National
380,"31 DONATE $320 FOR THE NEEDIEST; Several Regret Tardiness but Are Eager to Share Work Even at Late Date GIFT SENT FROM FLORIDA Woman Asks to Have It Used for Case Involving Baby Girl -- Fund Reaches $229,404 ",,https://www.nytimes.com/1941/01/06/archives/31-donate-320-for-the-neediest-several-regret-tardiness-but-are.html,1941-01-06T05:00:00+0000,Archives,Archives,Florida Woman,National
381,BUYS LAKE GEORGE BOATS; Florida Woman Acquires Line From Delaware & Hudson,Mrs C Stafford buys Lake George Steamboat Co,https://www.nytimes.com/1939/07/27/archives/buys-lake-george-boats-florida-woman-acquires-line-from-delaware.html,1939-07-27T05:00:00+0000,Archives,Archives,Florida Woman,National
382,"70, SHE SWIMS A MILE TO AID PARTY ON BOAT; Florida Woman Reaches Shore to Find Her Effort Is Useless","Fishing party of 4 adrift in Gulf of Mexico, saved",https://www.nytimes.com/1939/04/08/archives/70-she-swims-a-mile-to-aid-party-on-boat-florida-woman-reaches.html,1939-04-08T05:00:00+0000,Archives,Archives,Florida Woman,National
383,"GOVERNOR JOHNSTON SUES; He Asks $3,000 From Florida Woman Over Auto Crash.",Sues Mrs J A Payne for injuries received in auto crash; M E Crawford sues for damages to car,https://www.nytimes.com/1936/10/25/archives/governor-johnston-sues-he-asks-3000-from-florida-woman-over-auto.html,1936-10-25T05:00:00+0000,Archives,Archives,Florida Woman,National
384,"WINS MARK TWAIN PRIZE; Florida Woman, 92, Is First in Ninth Essay Contest.","Mrs T F McKinstry wins 9th annual essay contest on ""Authors I Have Met""",https://www.nytimes.com/1936/08/08/archives/wins-mark-twain-prize-florida-woman-92-is-first-in-ninth-essay.html,1936-08-08T05:00:00+0000,Archives,Archives,Florida Woman,National
385,SAVES 2 PHILADELPHIANS.; Florida Woman Rescues Them When Canoe Overturns.,"F Robinson and N Lochart rescued by Mrs G Rogers, Winter Park",https://www.nytimes.com/1934/01/01/archives/saves-2-philadelphians-florida-woman-rescues-them-when-canoe.html,1934-01-01T05:00:00+0000,Archives,Archives,Florida Woman,National
386,FLORIDA WOMAN KILLS HUSBAND'S SECRETARY; Wife of Federal Narcotic Agent Is Held for Murder on Busy Jacksonville Corner.,Killed; Mrs C R Frazier arrested on murder charge,https://www.nytimes.com/1932/12/17/archives/florida-woman-kills-husbands-secretary-wife-of-federal-narcotic.html,1932-12-17T05:00:00+0000,Archives,Archives,Florida Woman,National
387,PARROT RECEIVES BEQUEST.; Florida Woman's Will Makes 'Polly' a Beneficiary of Large Estate.,One named beneficiary for remainder of life under terms of will of A G Burt,https://www.nytimes.com/1931/06/05/archives/parrot-receives-bequest-florida-womans-will-makes-polly-a.html,1931-06-05T05:00:00+0000,Archives,Archives,Florida Woman,National
388,"CALLED SON OF NAPOLEON III; J.A. Casey Was Offspring, Florida Woman Says in Estate Fight.",,https://www.nytimes.com/1931/06/28/archives/called-son-of-napoleon-iii-ja-casey-was-offspring-florida-woman.html,1931-06-28T05:00:00+0000,Archives,Archives,Florida Woman,National
389,A Florida Woman's Appreciation.,Lr of appreciation for aid given Fla hurricane sufferers,https://www.nytimes.com/1926/10/05/archives/a-florida-womans-appreciation.html,1926-10-05T05:00:00+0000,Archives,Archives,Florida Woman,National
390,THE EASTON WILL CASE.; Florida Woman Wants Document She Sent Probated.,,https://www.nytimes.com/1921/12/16/archives/the-easton-will-case-florida-woman-wants-document-she-sent-probated.html,1921-12-16T05:00:00+0000,Archives,Archives,Florida Woman,National
391,"'COUSIN' SUBMITS NEW EASTON WILL; Document Purports to Leave Recluse's $250,000 Estate to Florida Woman. SURROGATE TO INVESTIGATE Claimant Says She Is Subject to Colds and Does Not Wish to Come North.",,https://www.nytimes.com/1921/12/15/archives/cousin-submits-new-easton-will-document-purports-to-leave-recluses.html,1921-12-15T05:00:00+0000,Archives,Archives,Florida Woman,National
392,TEXAS MOB LYNCHES NEGRO IN JAIL YARD; Batter Steel Doors and Wreck Steel Cell to Get Man Accused of Murdering White Woman. GUARDSMEN PATROL MIAMI Bahama Blacks There Are Aroused at Death of Companion Charged with Assaulting Florida Woman.,,https://www.nytimes.com/1920/08/03/archives/texas-mob-lynches-negro-in-jail-yard-batter-steel-doors-and-wreck.html,1920-08-03T05:00:00+0000,Archives,Archives,Florida Woman,National
393,"MINISTER'S LEGACY $500,000.; Wealthy Florida Woman Leaves Fortune to Bar Harbor Pastor.","Dodge Mrs. A. R., will",https://www.nytimes.com/1904/04/19/archives/ministers-legacy-500000-wealthy-florida-woman-leaves-fortune-to-bar.html,1904-04-19T05:00:00+0000,Archives,Archives,Florida Woman,National
394,WILL GIVE ALL THAT SHE HAS.; Wealthy Florida Woman to Part with Her Property for Benefit of Missionary Alliance.,"Missionary Alliance, Mrs Finney gives her all",https://www.nytimes.com/1903/08/31/archives/will-give-all-that-she-has-wealthy-florida-woman-to-part-with-her.html,1903-08-31T05:00:00+0000,Archives,Archives,Florida Woman,National
395,A Florida Woman Drowned.,,https://www.nytimes.com/1900/09/18/archives/a-florida-woman-drowned.html,1900-09-18T05:00:00+0000,Archives,Archives,Florida Woman,National
396,SHOT BY A FLORIDA WOMAN.; James Goff Probably Fatally Wounded for Trying to Bully an Absent Neighbor's Wife.,,https://www.nytimes.com/1897/12/13/archives/shot-by-a-florida-woman-james-goff-probably-fatally-wounded-for.html,1897-12-13T05:00:00+0000,Archives,Archives,Florida Woman,National
