,Title,Summary,Link,Time,Source,Category,Address,State,Zip
42,Oakland teen arrested after six people shot at central California beach,"- Authorities arrested a 19-year-old Oakland man in connection with a shooting that injured six people at the Oceano Dunes Natural Preserve on California's central coast, which witnesses said began over a domestic dispute.

Francisco Orozco, 19, could face multiple counts of attempted murder, the San Luis Obispo County Sheriff's Office said Sunday. It wasn't immediately known if he has an attorney.

Witnesses said that a woman was hit on the beach and several people started to jump the man who hit her, and then a fight between two groups broke out.

""The person who hit the girl got jumped,"" Efrain Escobar said.

""It was scary,"" added Armando Alvarez. ""People were just falling.""

Six people were hospitalized following the shooting, authorities said.

The San Luis Obispo County Sheriff's Office says investigators believe the shooting just after midnight on Saturday was an isolated incident and there is no threat to the public.

The conditions of those hurt weren't immediately available.",http://www.ktvu.com/news/oakland-teen-arrested-after-six-people-shot-at-central-california-beach,2019-05-06T12:24:00Z,KTVU,Couple,"2 Jack London Square, Oakland, CA 94607, USA",CA,94607
46,"Infant, student are latest Southern California measles cases","- Health officials say a 7-month-old infant in Orange County and a graduate student who lives in Los Angeles County are the latest confirmed cases of measles in Southern California.

Orange County's health care agency said Saturday that the baby, who was too young to be vaccinated, was treated at an emergency room starting April 28 and remains hospitalized.

The Orange County Register reports the student, a man, is recovering at home in Long Beach. Officials say he could've exposed people to measles at UC Irvine and multiple other locations dating back to April 28.

The number of measles cases in LA County is 8. Orange County has 2 confirmed cases.

Authorities are urging people to get immunized and to learn symptoms of the extremely contagious illness.",http://www.ktvu.com/news/infant-student-are-latest-southern-california-measles-cases-1,2019-05-05T18:07:58Z,KTVU,Couple,"2 Jack London Square, Oakland, CA 94607, USA",CA,94607
50,Oakland police arrest man who falsely claimed daughter was abducted,"Police have arrested a California man they say falsely claimed that his 3-year-old daughter was abducted in a carjacking, triggering an Amber Alert. KTVU-TV reports Oakland police say the man's Mercedes was stolen Saturday -- but the child was not inside.Investigators say the father lied about the girl's disappearance because he thought authorities would help him recover his car faster.The girl was actually with her mother at the time of the carjacking.Officials say the report of a missing child caused law enforcement to expend a huge amount of resources to find her. The father could face charges including filing a false report.His car was recovered after a police chase and the alleged carjacker was arrested.

Police have arrested a California man they say falsely claimed that his 3-year-old daughter was abducted in a carjacking, triggering an Amber Alert.

KTVU-TV reports Oakland police say the man's Mercedes was stolen Saturday -- but the child was not inside.

Advertisement

Investigators say the father lied about the girl's disappearance because he thought authorities would help him recover his car faster.

The girl was actually with her mother at the time of the carjacking.

Officials say the report of a missing child caused law enforcement to expend a huge amount of resources to find her. The father could face charges including filing a false report.

His car was recovered after a police chase and the alleged carjacker was arrested.

AlertMe",https://www.kcra.com/article/oakland-police-arrest-man-falsely-claimed-daughter-was-abducted/27447113,2019-05-12T21:45:00Z,KCRA-TV,Couple,"3 Television Cir, Sacramento, CA 95814, USA",CA,95814
53,California Death Row Inmate Dies Of Natural Causes,"<img width=""150"" height=""84"" src=""https://cbssacramento.files.wordpress.com/2019/05/cdcr-death-row-brett-pensinger-wide.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbssacramento.files.wordpress.com/2019/05/cdcr-death-row-brett-pensinger-wide.jpg?w=150 150w, https://cbssacramento.files.wordpress.com/2019/05/cdcr-death-row-brett-pensinger-wide.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />Authorities say a man who was sent to California's death row for killing and mutilating a 5-month-old girl has died of natural causes.",https://sacramento.cbslocal.com/2019/05/03/california-death-row-inmate-dies-of-natural-causes/,2019-05-04T01:45:35Z,CBS Sacramento,Couple,"2713 Kovr Dr, West Sacramento, CA 95605, USA",CA,95605
60,Family of California man killed in Tesla crash sue automaker,"SAN JOSE, Calif. (AP) — The family of a software engineer who died after his Tesla SUV crashed in a Northern California highway has sued the automaker.

The lawsuit filed in a Santa Clara County says the autopilot navigation system caused the crash on Highway 101 that killed Walter Huang near Mountain View in Silicon Valley last year.

Huang’s widow, Sevonne Huang, and his family also sued the state’s Department of Transportation for not maintaining the highway.

The California Highway Patrol said Walter Huang was traveling south in the carpool lane when the Tesla crashed against a freeway barrier. The crash caused a fire. Rescuers were able to free him, but he died later at a hospital.

The family’s attorney, B. Mark Fong, said Wednesday they are suing to help prevent “this tragedy from happening to other drivers using Tesla vehicles.”

---

For local and breaking news, and to get weather alerts, download our FREE mobile app from the Apple App Store or the Google Play Store.",http://www.yourcentralvalley.com/news/california/family-of-california-man-killed-in-tesla-crash-sue-automaker/1971465413,2019-05-02T00:20:34Z,YOURCENTRALVALLEY,Couple,"5035 E McKinley Ave, Fresno, CA 93727, USA",CA,93727
62,Details emerge about man arrested in Southern California terror plot,"New information emerged Tuesday about Mark Domingo, the man accused of plotting to bomb several sites across Southern California.",https://abc7.com/man-arrested-in-socal-terror-plot-was-kicked-out-of-army/5277613/,2019-05-01T02:34:46Z,ABC7 Los Angeles,Couple,"500 Circle 7 Dr, Glendale, CA 91201, USA",CA,91201
65,California neighborhood rattled by police-involved shooting,"None

A home on the 81-200 block of Daffodil Court is taped off on Tuesday, April 30, 2019, after an Indio police officer shot an armed man suspected of domestic violence. He was injured and taken to a hospital. No one else was hurt. Colin Atagi/The Desert Sun",http://rssfeeds.mydesert.com/~/601429902/0/palmsprings/home~Indio-neighborhood-rattled-by-policeinvolved-shooting/,2019-04-30T15:39:51Z,Desert Sun,Couple,"750 N Gene Autry Trail, Palm Springs, CA 92262, USA",CA,92262
75,Man arrested for burning flag on CHP memorial in Industry,"CITY OF INDUSTRY, Calif. (KABC) -- A transient was arrested after allegedly setting fire to an American flag that was on a memorial for a fallen CHP officer in the City of Industry, officials say.The Los Angeles County Sheriff's Department says the suspect was spotted loitering Sunday morning in the area of the memorial at Valley Boulevard and Turnbull Canyon Road.A CHP officer noticed him and was watching as the suspect appeared to grab the flag and shield it with his hand.Flames were soon seen consuming the flag.The suspect walked away, but he was stopped and arrested by the CHP officer.The flag could not be saved before it was consumed by the flames.The memorial was in honor of CHP Officer David Romero, who was struck and killed by a driver while on motorcycle patrol duty at that intersection in 2005.The driver who struck him was later convicted of second-degree murder and sentenced to 15 years to life in prison after officials found meth in his system.A portion of the 60 Freeway was also later named in honor of Romero.The suspect in the arson of the flag was identified as Scott Kennard, 41, a local transient.He was booked for felony arson of property and was being held in lieu of $50,000 bail.The flag at the officer's memorial was replaced.",https://abc7.com/man-arrested-for-burning-flag-on-chp-memorial-in-industry/5297102/,2019-05-13T00:57:35Z,ABC7 Los Angeles,Couple,"500 Circle 7 Dr, Glendale, CA 91201, USA",CA,91201
76,Police arrest man who falsely claimed daughter was abducted,"OAKLAND, Calif. (AP) — Police have arrested a California man they say falsely claimed that his 3-year-old daughter was abducted in a carjacking, triggering an Amber Alert.

KTVU-TV reports Oakland police say the man’s Mercedes was stolen Saturday — but the child was not inside.

Investigators say the father lied about the girl’s disappearance because he thought authorities would help him recover his car faster.

The girl was actually with her mother at the time of the carjacking.

Officials say the report of a missing child caused law enforcement to expend a huge amount of resources to find her. The father could face charges including filing a false report.

His car was recovered after a police chase and the alleged carjacker was arrested.

---

For local and breaking news, and to get weather alerts, download our FREE mobile app from the Apple App Store or the Google Play Store.",http://www.yourcentralvalley.com/news/california/police-arrest-man-who-falsely-claimed-daughter-was-abducted/1998027177,2019-05-12T21:49:52Z,YOURCENTRALVALLEY,Couple,"5035 E McKinley Ave, Fresno, CA 93727, USA",CA,93727
77,"Father shoots, kills home intruder in Lancaster","LANCASTER, Calif. (KABC) -- A man was fatally shot after allegedly breaking into a Lancaster home.The shooting happened around 6:45 a.m. Sunday in the 45100 block of Loma Vista Drive.Los Angeles County Sheriff's detectives say the man got into the home through one of the downstairs rear windows and walked into an upstairs bedroom.That's when the homeowner who feared for the safety of himself and his children grabbed a gun and fired a shot, which struck the suspect in the upper torso, according to authorities.The family inside the home at the time was not injured.No additional information was released.Anyone with information on this incident is asked to call the Sheriff's Homicide Bureau at 323-890-5500. Tips may also be submitted anonymously to L.A. Regional Crime Stoppers at 800-222-8477.",https://abc7.com/father-shoots-kills-home-intruder-in-lancaster/5296891/,2019-05-12T20:48:15Z,ABC7 Los Angeles,Couple,"500 Circle 7 Dr, Glendale, CA 91201, USA",CA,91201
78,"Man stabbed and killed at a home in Mendota, according to Deputies",,http://kmph.com/news/local/man-stabbed-and-killed-at-a-home-in-mendota-according-to-deputies,2019-05-12T20:26:51Z,KMPH,Couple,"5111 E McKinley Ave, Fresno, CA 93727, USA",CA,93727
79,"20-year-old man shot and killed early Sunday morning, according to police",,http://kmph.com/news/local/20-year-old-man-shot-and-killed-early-sunday-morning-according-to-police,2019-05-12T18:26:32Z,KMPH,Couple,"5111 E McKinley Ave, Fresno, CA 93727, USA",CA,93727
84,"Southern California terror plot: Mark Steven Domingo arrested in planned attack on Santa Monica Pier, Long Beach rally","A Reseda man was arrested for planning a terrorist strike on the Santa Monica Pier and a White supremacist rally in Southern California, federal officials announced Monday.",https://abc7.com/army-vet-arrested-in-terror-plot-targeting-southern-california/5276195/,2019-04-29T23:07:44Z,ABC7 Los Angeles,Couple,"500 Circle 7 Dr, Glendale, CA 91201, USA",CA,91201
