,Unnamed: 0,Title,Summary,Link,Time,Source,Category,Address,State,Zip
16,45,Florida woman pulls gator out of her pants during traffic stop,"CHARLOTTE COUNTY, Fla. - A Florida woman has some explaining to do after she pulled a live alligator out of her pants during a traffic stop, authorities said.

On Monday afternoon, the Charlotte County Sheriff's Office posted an image of the gator on Facebook, saying the unnamed woman was pulled over for unspecified reasons earlier in the day.

""Do you have anything else?"" deputies asked the woman at one point, according to the post. To which she replied by retrieving the scaly critter from her trowsers because we're in Florida.

It turns out the woman also had 41 three-striped mud turtles in her vehicle. As a result, the Florida Fish and Wildlife Conservation Commission has taken over the investigation.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/florida/florida-woman-pulls-gator-out-of-her-pants-during-traffic-stop,2019-05-06T21:48:25Z,WJXT,Florida Woman,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
18,47,Deputies: Florida woman pulls alligator out of her pants during traffic stop,"Deputies: Florida woman pulls alligator out of her pants during traffic stop

Related video above: Palm Coast woman finds alligator at her front door.Deputies in southwest Florida said a woman pulled an alligator out of her pants while she was being questioned Monday during a traffic stop. Charlotte County deputies said the woman pulled out the alligator when they asked her if she “had anything else?” Deputies said the woman also had 41 three-striped turtles in her vehicle. The investigation was handed over the Florida Fish and Wildlife Conservation Commission.

Related video above: Palm Coast woman finds alligator at her front door.

Deputies in southwest Florida said a woman pulled an alligator out of her pants while she was being questioned Monday during a traffic stop.

Charlotte County deputies said the woman pulled out the alligator when they asked her if she “had anything else?”

Deputies said the woman also had 41 3-striped turtles in her vehicle.

The investigation was handed over the Florida Fish and Wildlife Conservation Commission.

AlertMe",https://www.wesh.com/article/deputies-florida-woman-pulls-alligator-out-of-her-pants-during-traffic-stop/27378201,2019-05-06T20:49:00Z,WESH-TV,Florida Woman,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
19,48,Florida woman pulls alligator out of pants during traffic stop,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. (Source: Charlotte County Sheriff's Office)

CHARLOTTE COUNTY, Fla. (WFLA) – A Florida woman pulled an alligator out of her pants during a traffic stop in Charlotte County Monday morning.

The Charlotte County Sheriff’s Office said in a Facebook post that the woman removed the gator from her pants after being asked the standard “do you have anything else?”

The sheriff’s office said she also had 41 three-stripe turtles in the vehicle.

The Florida Fish and Wildlife Conservation Commission responded to take over the investigation.

",http://www.wfla.com/news/florida/florida-woman-pulls-alligator-out-of-pants-during-traffic-stop/1983761328,2019-05-06T20:44:00Z,WFLA,Florida Woman,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
28,70,"Jury selection underway for Florida woman accused of negligent manslaughter, child neglect",,http://weartv.com/news/local/jury-selection-underway-for-florida-woman-accused-of-negligent-manslaughter-child-neglect,2019-05-06T18:28:58Z,WEAR,Florida Woman,"4990 Mobile Hwy, Pensacola, FL 32506, USA",FL,32506
44,99,Florida woman accused of threatening school over son's suspension,"OCALA, Fla. - A Florida mother is accused of threatening to shoot up an elementary school after her son was suspended from riding the bus for fighting.

Ocala police officials say 29-year-old Melissa Giddens was arrested Wednesday after officials at College Park Elementary School alerted them to a threatening voicemail she left.

The Ocala Star-Banner reports school officials told officers Giddens' son had been suspended from the bus three days for an April 29 fight.

An officer went to Giddens' home and played her the recording of the message. An arrest report says Giddens told investigators she was frustrated with the school and the bus driver.

She was charged with making a threat to kill, do bodily injury or conduct a mass shooting.

She remains in jail. A lawyer isn't listed on records.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/florida-woman-accused-of-threatening-school-over-sons-suspension,2019-05-02T16:17:15Z,WKMG,Florida Woman,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
48,104,Florida woman's video captures rare 'positive' lightning bolt up to 10 times stronger,"Volleys of afternoon thunderstorms rocked South Florida the past several days, as punctual as the afternoon sea breeze and a harbinger of one of the state's most dangerous times of year.

The rainy season that doesn't officially begin until May 15 in Palm Beach, Broward and Miami-Dade counties, comes with the kind of life-threatening lightning, tornadoes and flooding that have highlighted the area's weather since Friday.

Underscoring the atmospheric mayhem was an unusual bolt of lightning up to 10 times stronger than a typical flash that was caught on video by Boynton Beach resident Erica Hite on Sunday.

>> RELATED: Why Florida's summer thunderstorms are unique, deadly

The so-called continuous current, or positive lighting, which was identified by the National Weather Service in Miami after seeing the video, hit outside Hite's apartment when she was taking video to show her family how bad the weather was.

The 12-second clip of the blinding strike that sounded like firecrackers going of was played on MSNBC's Morning Joe and repeatedly on The Weather Channel. According to the National Oceanic and Atmospheric Administration, positive lightning originates in the upper reaches of a cloud's anvil and make up less than 5 percent of all strikes.

""It was crazy. Very scary, very loud,"" Hite said. ""It was just the right place at the right time. I could probably never in my life get something like that again.""

Hite said the strike damaged a concrete dumpster enclosure.

Amazing#lightning strike video in#BoyntonBeach this afternoon. Be safe out there Courtesy Erica Hitepic.twitter.com/6wArFClkIt

— Steve Weagle (@SteveWeagleWPTV)May 5, 2019

Weather-related damage on Friday included the loss of half a horse stable roof in Loxahatchee when a weak tornado touched down. The EF-0 with 70-mph winds was confirmed by an NWS survey team. No people or animals were injured, according to the survey team.

And up to 300 lightning bolts as hot as the sun cracked the sky in West Palm Beach between 4 and 7 p.m. Sunday, leading to the cancellation of the Tears for Fears show at SunFest to the dismay and ire of fans. Country music star Keith Urban's flight was diverted from PBIA to Miami because of heavy rains, winds and lightning on Sunday, but somehow his band hit the stage just after 9 p.m.

>> BOOKMARK The Palm Beach Post's weather page for climate and environmental news

Meteorologist Larry Kelly said the Miami office of the NWS was in constant contact with SunFest or police officials to give them weather updates, but didn't make any decisions as far as far as asking people to seek shelter or canceling shows.

While Florida's unique sea breeze-initiated thunderstorms are the norm for summer as daytime heating lures in winds from both coasts, the recent storms also had an upper-level southwest flow that pushed them to pile up along the coast.

Rain totals Sunday were highest in Miami-Dade County, but areas in Boynton Beach and Jupiter received more than 2 inches, with Lake Worth getting 1.95 inches.

The official measure at Palm Beach International Airport was 0.91 inches.

>> RELATED: Date, not dew point, starts ""rainy season""

Miami's National Weather Service office decided last year to set standard rainy season dates beginning May 15 and ending Oct. 15. South Florida gets an average of 70 percent of its rain during the wet season.

""It's just like hurricane season starting June 1,"" Kelly said. ""Sometimes you get storms before.""

Before the dates became standard, the rainy season was determined by looking at dew point temperatures, sea surface temperatures and an established pattern of rainfall typical to the rainy season for at least three consecutive days.

The National Weather Service in Melbourne still does it the old fashioned way.

""We are getting to the point where everything switches to the afternoon thunderstorms and basically rain every day,"" said meteorologist Krizia Negron, who works in the Melbourne NWS office. ""We are getting close to it for sure.""

Kmiller@pbpost.com

@KmillerWeather",https://www.waltonsun.com/news/20190506/florida-womans-video-captures-rare-positive-lightning-bolt-up-to-10-times-stronger?rssfeed=true,2019-05-06T19:36:52Z,The Walton Sun,Florida Woman,"2 Eglin Pkwy NE, Fort Walton Beach, FL 32548, USA",FL,32548
49,105,VIDEO: Florida woman's video captures rare 'positive' lightning bolt up to 10 times stronger,"Volleys of afternoon thunderstorms rocked South Florida the past several days, as punctual as the afternoon sea breeze and a harbinger of one of the state's most dangerous times of year.

The rainy season that doesn't officially begin until May 15 in Palm Beach, Broward and Miami-Dade counties, comes with the kind of life-threatening lightning, tornadoes and flooding that have highlighted the area's weather since Friday.

Underscoring the atmospheric mayhem was an unusual bolt of lightning up to 10 times stronger than a typical flash that was caught on video by Boynton Beach resident Erica Hite on Sunday.

>> RELATED: Why Florida's summer thunderstorms are unique, deadly

The so-called continuous current, or positive lighting, which was identified by the National Weather Service in Miami after seeing the video, hit outside Hite's apartment when she was taking video to show her family how bad the weather was.

The 12-second clip of the blinding strike that sounded like firecrackers going of was played on MSNBC's Morning Joe and repeatedly on The Weather Channel. According to the National Oceanic and Atmospheric Administration, positive lightning originates in the upper reaches of a cloud's anvil and make up less than 5 percent of all strikes.

""It was crazy. Very scary, very loud,"" Hite said. ""It was just the right place at the right time. I could probably never in my life get something like that again.""

Hite said the strike damaged a concrete dumpster enclosure.

Amazing#lightning strike video in#BoyntonBeach this afternoon. Be safe out there Courtesy Erica Hitepic.twitter.com/6wArFClkIt

— Steve Weagle (@SteveWeagleWPTV)May 5, 2019

Weather-related damage on Friday included the loss of half a horse stable roof in Loxahatchee when a weak tornado touched down. The EF-0 with 70-mph winds was confirmed by an NWS survey team. No people or animals were injured, according to the survey team.

And up to 300 lightning bolts as hot as the sun cracked the sky in West Palm Beach between 4 and 7 p.m. Sunday, leading to the cancellation of the Tears for Fears show at SunFest to the dismay and ire of fans. Country music star Keith Urban's flight was diverted from PBIA to Miami because of heavy rains, winds and lightning on Sunday, but somehow his band hit the stage just after 9 p.m.

Meteorologist Larry Kelly said the Miami office of the NWS was in constant contact with SunFest or police officials to give them weather updates, but didn't make any decisions as far as far as asking people to seek shelter or canceling shows.

While Florida's unique sea breeze-initiated thunderstorms are the norm for summer as daytime heating lures in winds from both coasts, the recent storms also had an upper-level southwest flow that pushed them to pile up along the coast.

Rain totals Sunday were highest in Miami-Dade County, but areas in Boynton Beach and Jupiter received more than 2 inches, with Lake Worth getting 1.95 inches.

The official measure at Palm Beach International Airport was 0.91 inches.

>> RELATED: Date, not dew point, starts ""rainy season""

Miami's National Weather Service office decided last year to set standard rainy season dates beginning May 15 and ending Oct. 15. South Florida gets an average of 70 percent of its rain during the wet season.

""It's just like hurricane season starting June 1,"" Kelly said. ""Sometimes you get storms before.""

Before the dates became standard, the rainy season was determined by looking at dew point temperatures, sea surface temperatures and an established pattern of rainfall typical to the rainy season for at least three consecutive days.

The National Weather Service in Melbourne still does it the old fashioned way.

""We are getting to the point where everything switches to the afternoon thunderstorms and basically rain every day,"" said meteorologist Krizia Negron, who works in the Melbourne NWS office. ""We are getting close to it for sure.""

Kmiller@pbpost.com

@KmillerWeather",https://www.thedestinlog.com/news/20190506/florida-womans-video-captures-rare-positive-lightning-bolt-up-to-10-times-stronger?rssfeed=true,2019-05-06T19:36:52Z,The Destin Log,Florida Woman,"2 Eglin Pkwy NE, Fort Walton Beach, FL 32548, USA",FL,32548
53,116,‘A calling from above’: Central Florida woman hosts luncheon for widows,"‘A calling from above’: Central Florida woman hosts luncheon for widows Share Shares Copy Link Copy

Hide Transcript Show Transcript

BELOVED WIDOWS >> WE THANK YOU FOR THIS DAY. >> WHEN YOU’RE DOING WHAT YOU ARE CALLED TO D IT IS A FEELING YOU CAN’T DESCRIBE. MEREDITH DARLENE MARESCO BEGAN ALL OF THIS. SHE HOSTS A LUNCHEON AT HER KISSIMMIE HOME EVERY OTHER MONTH FOR WIDOWS. THIS MONTH THERE ARE MORE THAN 60 LADIES HERE. >> I HAVE 2 LADIES LINDA AND MARYLIN WHO SINCE WE HAV STARTED IN 2011 HAVE MISSED ONE. MEREDITH: DARLENE SAYS IT’S A CALLING FROM ABOVE TO SERVE THESE WOMEN WHO HAVE LOST THEI LOVES. MANY OF WHOM FIND COMFORT IN THE COMPAN >> IT’S JUST A HAPPY PLACE I LIKE ALL THE PEOPLE HERE THESE ARE ALL MY FRIENDS WE’VE GONE TO THE SAME CHURCH FOR SEVERA YEARS. IT IS JUST GOOD. GOOD TO COME AND CELEBRATE. >> ALWAYS VE SATISFYING. EVERYBODY IS SO SWEET AND THIS IS A GREAT PROGRAM. THEY TREAT US LIKE FAMILY ITS -- IT IS LIKE A BIG FAMILY. MEREDITH: IT TAKES THE WHOLE NEIGHBORHOOD AND LOTS OF VOLUNTEERS TO MAKE THIS WORK. DARLENE’S HUSBAND TONY IS THE CHEF. LADIES ARE SERVED SEVERAL COURSES JUST LIKE AT A RESTAURANT WAIT STAFF IS DEDICATED TO EACH ROOM OF DARLENE’S HOME HER SON, CHRIS IS IN CHARGE OF PARKING CARS, EVEN ON THE NEIGHBORS LAWN >> I HAVE THE BEST NEIGHBORS EVER. IT’S THE IMPACT THEY MAKE ON ME NOT TO MENTION THE FACT LOOK AT MY VOLUNTEERS THEY COME BACK. MEREDITH: THERE IS A NEW THEME EACH LUNCHEON. THIS WILLIE WONKA AND THE ONE, CHOCOLATE FACTORY. THEY PLAY GAMES, THERE ARE GIFTS GIVEAWAY AND EVERY LADY RECEIVES A HUG WHEN THEY ARRIVE AND LEAVE. >> WE TRIED TO HUG THEM DURING. WE HOPE THEM WHEN THEY GO IN AND WHEN THEY GO OUT. THIS IS THE ONLY LOVING THEY GET BECAUSE NOT EVERYBODY HAS A FAMILY TO GO HOME. MEREDITH: DARLENE’S MOTHER IS AMONG THE VOLUNTEERS. SHE HELPED DARLENE COME UP WITH THIS IDEA OF GIVING BACK TO WOMEN SHE KNEW WERE SILENTLY STRUGGLING. >> THEY NEED THE FELLOWSHIP. SOMEONE TO TALK TO, TO SHARE WITH. >> THIS IS NOT WORK WHEN YOU ARE CALLED TO DO SOMETHING THIS FUN. MEREDITH: THAT’S WHY DARLENE MARESCO AND MY BELOVED WIDOWS ARE OUR WESH 2 COMMUNITY CHAMPIONS OF THE WEE JASON: THANKS TO DONATIONS AND SPONSORSHIPS MY BELOVED WIDOWS , LUNCHEONS ARE FREE FOR ALL THE LADIES WHO ATTEND. FOR MORE INFORMATION ON THE WORK THEY ARE DOING VISIT MY BELOVED WIDOWS.ORG. IF YOU KNOW SOMEONE WORKING TO MAKE THINGS BETTER IN OUR CENTRAL FLORIDA COMMUNITY NOMINATE THEM TO BE A WESH 2 COMMUNITY CHAMPION OF THE WEEK. JUST HEAD TO WESH.COM TO TLL US ABOUT THIS PERSON OR G",https://www.wesh.com/article/a-calling-from-above-central-florida-woman-hosts-luncheon-for-widows/27343272,2019-05-02T13:33:00Z,WESH-TV,Florida Woman,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
55,123,Florida woman critically hurt in chase with deputies escapes hospital,,http://cbs12.com/news/local/florida-woman-critically-hurt-in-chase-with-deputies-escapes-hospital,2019-04-30T13:14:34Z,WPEC,Florida Woman,"1100 Fairfield Dr, West Palm Beach, FL 33407, USA",FL,33407
76,146,"Deputies: Florida woman slapped man, stabbed mattress to try and sober him up","Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

NEW PORT RICHEY, Fla. (WFLA) - A Pasco County woman is facing charges after deputies say she assaulted a man in an attempt to sober him up.

Pasco deputies were called a home on Hummingbird Lane in New Port Richey just before 1 a.m. Sunday and arrested 39-year-old Amber Lynnee Grace.

According to an arrest report, Grace slapped the victim in the face during an argument inside the home. The victim told deputies he then walked away from Grace and went to his bedroom.

Deputies say the victim later woke up and found Grace standing over him with a kitchen knife raised above her head. Grace then stabbed the bed with the knife, the arrest report says.

The victim told deputies he was scared he was going to be stabbed by Grace. A responding deputy noted in the arrest report that there was a slice in the bedsheets just inches away from the pillow where the victim's head was.

The arrest report says Grace admitted to slapping the man in the face and said she did it because he was drunk and thought it would help his intoxication level. Deputies say she also admitted to stabbing the bed to ""shock"" the victim.

Grace was arrested and charged with domestic aggravated assault and domestic battery.",https://www.wfla.com/news/pasco-county/deputies-florida-woman-slapped-man-stabbed-mattress-to-try-and-sober-him-up/1963528137,2019-04-29T15:58:12Z,WFLA,Florida Woman,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
96,168,WATCH: Gator knocks on door of Florida woman's home,"(WFLA) - Knock knock!

A woman had a reptilian surprise waiting for her at her doorstep in Palm Coast this week.

Donna Heiss posted a video of an alligator tapping on her glass door, trying to get a peek inside of her house on Edward Drive.

RELATED

►Alligator mating season begins in Florida

►WATCH: Giant alligator takes casual stroll in Fort Myers

►9-foot gator found in Florida pool

""It frightened me so much,"" she told WKMG.

According to the news station, a trapper was able to catch the gator, which was approximately 8 feet long.",https://www.wfla.com/news/florida/watch-gator-knocks-on-door-of-florida-woman-s-home/1956631138,2019-04-26T17:00:14Z,WFLA,Florida Woman,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
97,169,Gator knocks on Florida woman's door,"Next

What the heck is #fantennial, and why...",http://www.wfla.com/video/gator-knocks-on-florida-woman-s-door_20190426163842/1956693912,2019-04-26T16:39:10Z,WFLA,Florida Woman,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
