,Title,Summary,Link,Time,Source,Category,Address,State,Zip
21,Fort Lauderdale man charged with 6 armed robberies in South Florida,"Dwight Grinion is accused of robbing six South Florida businesses at gunpoint.

FORT LAUDERDALE, Fla. - A Fort Lauderdale man has been charged in connection with six armed robberies in South Florida.

Dwight Grinion, 25, is accused of robbing six businesses at gunpoint between March 22 and April 24.

Federal prosecutors claim Grinion fired a revolver during the initial robbery at a Subway restaurant in Fort Lauderdale. They said he used the same gun in all six robberies.

During the last robbery at a jewelry store at the Sawgrass Mills mall in Sunrise, Grinion is alleged to have pointed a gun at an employee and stolen a gold bracelet worth about $2,500.

Grinion faces up to life in prison if convicted.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/local/fort-lauderdale/fort-lauderdale-man-charged-with-6-armed-robberies-in-south-florida,2019-05-10T21:21:38Z,WPLG,Florida Man,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
23,Florida man gets life for fatally stabbing girlfriend,"- A Florida man has been sentenced to life in prison for fatally stabbing his girlfriend, who was in bed with her young child at the time of the attack.

Court records show that 51-year-old Freddie Harris was sentenced Thursday. He was convicted of second-degree murder, child abuse and aggravated assault on a law enforcement officer.

Authorities say Harris stabbed 39-year-old Chantill Harrison 22 times as she lay in bed at a Fort Myers home in November 2017.

A teenager at the home called 911, and Harris armed himself with a rifle to wait for police. Harris eventually surrendered after a 45-minute standoff.",http://www.fox35orlando.com/home/florida-man-gets-life-for-fatally-stabbing-girlfriend-1,2019-05-10T11:27:22Z,FOX 35 ORLANDO,Florida Man,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
24,'Florida Man' TV series coming to Oxygen Network,"- Florida has a reputation for wacky and weird stories, often committed by the ever-popular ""Florida Man.""

Now the Sunshine State's favorite son is getting even more of a spotlight: his very own TV show.

Oxygen Network announced it will develop a series based on the strange crimes that always seem to happen in Florida.

""When the murder is so bizarre, the motive so far-fetched and the crime so outlandish that it sounds like something from a Hollywood screenplay -- there’s a good chance it was actually committed by a 'Florida Man,'"" the network said in its announcement.

Oxygen said the series is part of its expansion of true crime programming.

Continue reading below

""With access to Florida investigators and prosecutors, this series zeroes in on America’s most notorious, outrageous, craftiest killers from the Sunshine State. The series will unravel the strange twists and turns and try in vain to reason how and why this breed of killers took their crimes to levels beyond comprehension,"" the synopsis said.

The network did not give a premiere date for the series, but said it is in development.

The announcement comes on the heels of the viral ""Florida Man"" challenge that circulated on social media in March, where users Googled the phrase ""Florida Man"" along with their birthday to find out which story happened on the day they were born.

For example, someone with a birthday on November 5th would type ""Florida man November 5"" into Google and get pages of search results with news stories, including this gem: ""Florida man bitten after jumping into crocodile pool at alligator farm.""",http://www.fox13news.com/news/florida-news/-florida-man-tv-series-coming-to-oxygen-network,2019-05-09T20:06:41Z,FOX 13 NEWS,Florida Man,"3213 W Kennedy Blvd, Tampa, FL 33609, USA",FL,33609
26,Florida Judge Rules Ex-Prosecutor Insane In Mom’s Killing,"<img width=""150"" height=""112"" src=""https://cbsmiami.files.wordpress.com/2018/11/gavel02.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2018/11/gavel02.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2018/11/gavel02.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A judge has ruled a former Florida prosecutor with schizophrenia is not guilty by reason of insanity in the slaying of his mother and beating of his father.",https://miami.cbslocal.com/2019/05/12/florida-judge-ex-prosecutor-insane-moms-killing/,2019-05-12T16:58:37Z,CBS Miami,Florida Man,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
27,Florida man who stood on sunroof while driving accused of felony domestic violence,"POLK COUNTY, Fla. (WFLA ) - A driver made a lot of people laugh this week when he stood up on his sunroof with his car on cruise control while driving on Interstate 4. But the story behind the story isn't funny at all.

The Polk County Sheriff's Office said 70-year-old Leonard Olsen was arrested not only for driving recklessly, but also for false imprisonment and domestic violence by strangulation.

RELATED: Florida man arrested for hanging out sunroof while driving on I-4

According to an arrest report, Olsen is accused of choking a 69-year-old woman on April 30 after she took too long to come to bed. The woman told deputies she had bruises on her throat and a hoarse voice.

Days later, after the woman came home from dinner, he allegedly ripped up the dress she had been wearing, accused her of having an affair and called her a vulgar name. Then he asked her for one of her bras and threatened to destroy every bra in her dresser. When she eventually gave him a bra, he tore it apart and demanded that she give him the pair of underwear she had been wearing. When she told him she was still wearing the underwear, he began ""pulling on the underwear causing the victim's body to shake back and forth until the underwear came loose from the victim's body,"" an arrest report states.

Once he was through destroying all of her clothing, Olsen began blaring music so she couldn't fall asleep. This lasted several hours, according to the victim.

The next day, the victim awoke to Olsen slamming dresser drawers, turning the lights on and off, and blaring music. Deputies said he pushed her onto their bed, straddled her and put his hand on her throat, then placed his thumb on her mouth, which she bit. Olsen got off of her and blocked the doorway to prevent her from leaving the room. After a few minutes, he let her pass through the doorway and she called 911.

The Polk County Sheriff's Office said detectives made contact with Olsen by phone on Tuesday and he agreed to turn himself in.

As deputies were on their way to meet him, they learned he had been pulled over by the Florida Highway Patrol for driving recklessly.

Olsen was arrested and booked into the South County Jail, where he faces three counts of felony domestic battery on a person 65 or older, one count of felony false imprisonment and one count of felony domestic battery by strangulation.",http://www.wfla.com/news/polk-county/lakeland-man-who-stood-on-sunroof-while-driving-accused-of-felony-domestic-violence/1997065259,2019-05-12T03:59:05Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
29,"Florida girl screams, runs for help as car follows her home","ORANGE COUNTY, Fla. (WESH)— An emotional mother shared the details of a frightening moment involving her child.

She said her middle school daughter was followed home from school on Thursday and approached by a man in a car with a camera.

That student and her family spoke exclusively with WESH 2's Kelsi Thorud about what they said was a situation that could have ended much differently.

""It's just shocking because if I didn't do (anything), if I didn't run or anything, he probably would have gotten out of the car and probably grabbed me,"" the young girl said.

The sixth-grade student, who does not wish to be identified by WESH 2 News, said she was walking home from Freedom Middle School Thursday afternoon when she noticed a man in a black car.

""He's like, old looking, and he has a camera in his hand and he's smiling at me and telling, with his finger, telling me to come here,"" she said.

The girl said she immediately felt uncomfortable, so she started running.

""I run and he's still following me, and when he's still following me, I'm about over there, and I'm running and crying and screaming, 'Help me,' so someone could come and stuff,"" the child said.

Part of it was caught on surveillance video from the apartment complex the girl lives in.

In the video, the child is seen running to the gate, and a black car is seen pulling in right behind her.

""I could sense my daughter was scared by the way she was running. I've never seen her run like that before,"" the girl's mother said.

The girl's mother said she truly believes the man in the car wanted to take her daughter.

""It's a parent's worst nightmare to see something like that, and to know that there's people out there watching children like that, to try to take them or do whatever they want to do with them,"" she said.

The family said they've filed a police report and now they just want to warn parents in the area.

""Talk to your kids. Let them know stuff like this can happen. You may not think it can or will, but it does happen,"" the child's mother said.

The Orange County Sheriff's Office says it is investigating this incident.",https://www.wfla.com/news/florida/florida-girl-screams-runs-for-help-as-car-follows-her-home/1996636840,2019-05-11T20:31:52Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
31,Florida man stands through sunroof while driving down I-4,"- A Florida man has been charged with reckless driving after he was spotted standing through an opened sunroof of a moving vehicle, as it was traveling down Interstate 4.

The incident, which happened in Polk County, was captured on video by an off-duty sheriff's deputy. That witness notified authorities to be on the lookout for a white Cadillac.

A trooper with the Florida Highway Patrol spotted the Cadillac on U.S. Highway 98 and conducted a traffic stop. The driver, identified as 70-year-old Leonard Olsen, Jr., of Lakeland, was taken into custody after admitting it was him standing through the sunroof of his vehicle while the cruise control was activated.

In a report, FHP Trooper Ricky Binet wrote, ""Mr. Olsen stated that he wanted to turn himself in to an 'official' and asked if he could turn himself in to me. When asked 'Why do you want to do that?' Mr. Olsen stated 'My wife treats me like a servant and she's the mistress and I'm tired of this [explitive].'""

The report goes on to state that Olsen told the trooper, ""Lock me up, I'd rather go to jail [than] go back home.'""

This story was written out of Lake Mary, Florida.",http://www.fox35orlando.com/news/local-news/florida-man-stands-through-sunroof-while-driving-down-i-4,2019-05-11T00:57:18Z,FOX 35 ORLANDO,Florida Man,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
33,Off-duty deputy records Florida man standing in sunroof while traveling on I-4,"- A man spotted standing in the open sunroof of a moving vehicle faces charges after an off-duty Hillsborough County sheriff's deputy recorded video as he drove by, according to Florida Highway Patrol.

It happened Tuesday afternoon in Polk County, on Interstate 4.

FHP says dispatchers were called about a man standing in the open sunroof of a white Cadillac, headed west.

A trooper caught up with the Cadillac on US-98 and conducted a traffic stop.

The driver, 70-year-old Leonard Olsen, Jr., of Lakeland, was identified as the man in the off-duty deputy's video.

Continue reading below

FHP Trooper Ricky Binet wrote in his report he told Olsen he received reports of a man fitting Olsen's description sitting in the sunroof while traveling on I-4.

Olsen allegedly replied, ""I don't know about that.""

""Mr. Olsen stated that he wanted to turn himself in to an 'official' and asked if he could turn himself in to me. When asked 'why do you want to do that?' Mr. Olsen stated 'My wife treats me like a servant and she's the mistress and I'm tired of his [explitive],'"" the report states, adding, ""Mr. Olsen also stated, 'lock me up, I'd rather go to jail [than] go back home.'""

Olsen was detained and later admitted it was him sitting in the sunroof of his vehicle while cruise control was activated, the report states.

Olsen also allegedly told the trooper ""the car drives itself,"" and he ""thought it would be a nice way to praise God for a minute.""

Olsen was charged with misdemeanor reckless driving.",http://www.fox13news.com/news/local-news/off-duty-deputy-records-florida-man-standing-in-sunroof-while-traveling-on-i-4,2019-05-10T22:45:18Z,FOX 13 NEWS,Florida Man,"3213 W Kennedy Blvd, Tampa, FL 33609, USA",FL,33609
34,Florida man caught on camera standing in sunroof while driving on Interstate 4,"POLK COUNTY, Fla. - A Florida man was caught on camera standing in his sunroof while he was driving on Interstate 4 on Tuesday afternoon.

Leonard Olsen was charged with reckless driving.

The Florida Highway Patrol said a trooper pulled Olsen over around U.S. 98 and Wedgewood Estates Boulevard in Polk County.

Investigators said the trooper told Olsen they received reports of him sitting on his sunroof while driving on Interstate 4.

Troopers said Olsen told the investigator he wanted to turn himself in.

""My wife treats me like a servant and she's the mistress and I'm tired of this ****,"" Olsen told the investigator, according to report from FHP.

""Lock me up, I rather go to jail then go back home,"" he told the trooper.

Investigators showed Olsen the video of him standing in the sunroof while driving.

Troopers said an investigator asked if that was him in the video.

""Yes,sir,"" Olsen told the investigator.

Investigators said Olsen told the trooper the car was in cruise control.

""The car drives itself and has a gigantic computer in it,"" Olsen told the investigator.

Olsen explained to the trooper why was standing in the sunroof while driving.

""I thought it would be a nice way to praise God for a minute,"" he told the trooper.

Olsen's Cadillac was towed.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/florida-man-caught-on-camera-standing-in-sunroof-while-driving,2019-05-10T22:29:40Z,WKMG,Florida Man,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
35,WATCH: Florida man arrested for hanging out sunroof while driving on I-4,"LAKELAND, Fla. (WFLA) - A Florida man is facing a reckless driving charge after an off-duty deputy caught him hanging out of his sunroof while driving on I-4.

The incident happened Tuesday afternoon in Polk County and was caught on camera by an off-duty Hillsborough County deputy. The video shows the man, identified as 70-year-old Leonard Olsen Jr., standing up and hanging out of the sunroof of his car with his arms spread out as he's driving.

The deputy provided FHP with a license plate number, which led troopers to Olsen. When a trooper pulled him over and asked about him sitting on his sunroof, Olsen said, ""I don't know about that,"" according to an arrest report.

The arrest report states Olsen told the trooper he wanted to turn himself in because, ""my wife treats me like a servant and she's the mistress and I'm tired of this s***...lock me up, I'd rather go to jail than go back home.""

The deputy who witnessed the incident told troopers he saw Olsen bouncing back in forth in the center lane, then saw the man open the sunroof and get on top of the car. The deputy said he drove up next to the car and noticed no one else was in the car with Olsen. During his interview, the deputy told troopers Olsen sped up to over 100 mph at times then slowed to about 40 mph.

After he was arrested, troopers say Olsen admitted he sat on the sunroof but said the car was on cruise control. According to the arrest report, Olsen said, ""the car drives itself and has a gigantic computer in it.""

Troopers say Olsen added that he ""thought it would be a nice way to praise God for a minute, and I thought it would be nice at the time and that's what I did.""

Olsen was charged with reckless driving and his car was towed.",http://www.wfla.com/news/polk-county/watch-florida-man-arrested-for-hanging-out-sunroof-while-driving-on-i-4/1995230576,2019-05-10T21:33:24Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
36,Florida man arrested for hanging out sunroof while driving on I-4,,http://www.wfla.com/video/florida-man-arrested-for-hanging-out-sunroof-while-driving-on-i-4_20190510212307/1995205987,2019-05-10T21:23:25Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
39,Florida man accused of torturing little girl kills himself,"A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.An Escambia County Sheriff's Office spokeswoman says 37-year-old Andrew Bennett Ross Celauis died at a hospital Tuesday.Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.Investigators say Celauis filmed himself torturing the child. They say he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask.Investigators say the mother didn't know about the abuse. It was discovered when she brought the girl to the hospital for treatment of ringworm, which turned out to be burns.

A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.

An Escambia County Sheriff's Office spokeswoman says 37-year-old Andrew Bennett Ross Celauis died at a hospital Tuesday.

Advertisement

Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.

Investigators say Celauis filmed himself torturing the child. They say he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask.

Investigators say the mother didn't know about the abuse. It was discovered when she brought the girl to the hospital for treatment of ringworm, which turned out to be burns.

AlertMe",https://www.wesh.com/article/florida-man-accused-of-torturing-little-girl-kills-himself/27431147,2019-05-10T13:19:00Z,WESH-TV,Florida Man,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
41,Deputies: Florida man accused of torturing little girl kills himself,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Andrew Bennett Ross Celauis. (Photo: Escambia County Sheriff's Office)

PENSACOLA, Fla. (AP) - A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.

An Escambia County Sheriff's Office spokeswoman says 37-year-old Andrew Bennett Ross Celauis died at a hospital Tuesday.

Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.

Investigators say Celauis filmed himself torturing the child. They say he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask.",http://www.wfla.com/news/florida/deputies-florida-man-accused-of-torturing-little-girl-kills-himself/1994223215,2019-05-10T11:27:06Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
42,No charges for Florida man with obscene sticker on car,"LAKE CITY, Fla. - Charges have been dropped against a Florida man who refused to remove what a deputy considered an obscene sticker from his vehicle's window.

The State Attorney's Office in Columbia County filed court documents Thursday saying it won't prosecute Dillon Shane Webb, 23, who had been charged with obscenity and resisting an officer without violence. The filing said a valid defense could be raised under the First Amendment, which protects free speech.

An arrest report said a deputy stopped Webb in Lake City on Sunday because of a sexually explicit sticker. The deputy cited Webb for obscenity with a notice to appear in court.

Officials said the deputy told Webb to alter the sticker to change the derogatory part, but Webb refused. The deputy then charged Webb with resisting.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/no-charges-for-florida-man-with-obscene-sticker-on-car,2019-05-10T10:58:53Z,WKMG,Florida Man,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
43,"Florida man accused of torturing girl kills himself, deputies say","PENSACOLA, Fla. - A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.

An Escambia County Sheriff's Office spokeswoman said Andrew Bennett Ross Celauis, 37, died at a hospital Tuesday.

Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.

Investigators said Celauis filmed himself torturing the child. They said he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask, officials said.

Investigators said the mother didn't know about the abuse. It was discovered when she brought the girl to the hospital for treatment of ringworm, which turned out to be burns.



Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/florida-man-accused-of-torturing-girl-kills-himself-deputies-say,2019-05-10T10:43:25Z,WKMG,Florida Man,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
44,‘Florida Man' true crime TV show in the works,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

ORLANDO, Fla. (WESH) — A TV show about the Sunshine State’s most outrageous crimes is in the works.

Oxygen is developing a true crime series centered around the state’s “most outrageous, notorious and craftiest killers.”

“When the murder is so bizarre, the motive so far-fetched and the crime so outlandish that it sounds like something from a Hollywood screenplay—there’s a good chance it was actually committed by a “Florida Man,” a description of the series on Oxygen’s website reads.

The show, according to Oxygen, will unravel the strange twists and turns of Florida crimes and try to reason how and why Florida killers took their crimes to levels beyond comprehension.

The show will be called “Florida Man.” It will be produced by Blumhouse Television.

Read more abut the show here.",http://www.wfla.com/news/florida/florida-man-true-crime-tv-show-in-the-works/1993455116,2019-05-10T01:02:06Z,WFLA,Florida Man,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
46,Florida Man Sentenced To Life For Murder He Blamed On Sleepwalking,"<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/randy-herman-jr.-mugshot.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/randy-herman-jr.-mugshot.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/randy-herman-jr.-mugshot.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A Florida man, who claimed to be sleepwalking when he stabbed his roommate to death a little over two years ago, will be spending the rest of his life behind bars.",https://miami.cbslocal.com/2019/05/09/florida-man-sentenced-to-life-for-murder-he-blamed-on-sleepwalking/,2019-05-09T18:17:23Z,CBS Miami,Florida Man,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
