,Unnamed: 0,Title,Summary,Link,Time,Source,Category,Address,State,Zip
297,495,"14-yr-old Florida boy killed, 2 teens charged with murer","LEHIGH ACRES — Deputies say an arrangement between three Florida teens to buy a tactical vest ended with a 14-year-old boy dead and two charged with murder.

Lee County Sheriff's officials say the three teens met Saturday and that J'Martin Hixon had planned to buy the vest he'd seen on an online sale site. During their meet-up, one of the teen sellers shot Hixon. The News-Press reports Hixon also fired back and struck one of the boys.

Lamartine Malbranche, 15, and Jerry Murassaint, 16, were charged with conspiracy to commit robbery, robbery with firearm and murder while engaged in certain felony offense. One of the teens was taken to the hospital with a non-life threatening gunshot wound.

A third male with the two was also in the area, but the sheriff's office didn't release any details about his possible role.",https://www.newsherald.com/news/20190401/14-yr-old-florida-boy-killed-2-teens-charged-with-murer?rssfeed=true,2019-04-01T16:48:02Z,Panama City News Herald,Couple,"501 W 11th St, Panama City, FL 32401, USA",FL,32401
299,497,"14-yr-old Florida boy killed, 2 teens charged with murder","Lee County Sheriff's officials say the three teens met Saturday and that J'Martin Hixon had planned to buy the vest he'd seen on an online sale site.

LEHIGH ACRES — Deputies say an arrangement between three Florida teens to buy a tactical vest ended with a 14-year-old boy dead and two charged with murder.

Lee County Sheriff's officials say the three teens met Saturday and that J'Martin Hixon had planned to buy the vest he'd seen on an online sale site. During their meet-up, one of the teen sellers shot Hixon. The News-Press reports Hixon also fired back and struck one of the boys.

Lamartine Malbranche, 15, and Jerry Murassaint, 16, were charged with conspiracy to commit robbery, robbery with firearm and murder while engaged in certain felony offense. One of the teens was taken to the hospital with a non-life threatening gunshot wound.

A third male with the two was also in the area, but the sheriff's office didn't release any details about his possible role.",https://www.ocala.com/news/20190401/14-yr-old-florida-boy-killed-2-teens-charged-with-murder?rssfeed=true,2019-04-01T07:38:21Z,Ocala.com,Couple,"2121 SW 19th Avenue Rd, Ocala, FL 34471, USA",FL,34471
364,599,Florida boy runs with flag in honor of fallen deputy,"- A 10-year-old Florida boy is doing his part to honor fallen officers around the country.

Zechariah Cartledge participates in the Running for Heroes Foundation.

On Monday, Zechariah honored El Paso County Sheriff's Deputy Peter Herrera by running one mile with a symbolic thin blue line flag. He'll then send the flag to Herrera's family.

Herrera was shot during a traffic stop in San Elizario on Friday and later died.

Zechariah has been running for years but now uses it as a way to honor officers who have lost their lives in the line of duty.

According to the Running for Heroes Facebook page, Zechariah has run over 60 miles since last year, honoring 66 officers.

",http://www.fox35orlando.com/news/local-news/florida-boy-runs-with-flag-in-honor-of-fallen-deputy,2019-03-26T17:04:48Z,FOX 35 ORLANDO,Couple,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
481,798,"Florida boy, 6, dies after shooting himself in the head, police say","Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

Police say a 6-year-old Florida boy died after finding a loaded handgun inside a home and shooting himself in the head.

Miami Gardens Police officer Carolyn Frasier told reporters the shooting happened Saturday morning when the boy was with two caregivers. His parents were not present. She did not release the boy's name.

Frasier said investigators are still determining what happened. No one has been charged, but under Florida law a gun owner must take reasonable steps to assure firearms are not accessible by any child 15 or under.

Further details were not immediately available.",https://www.wfla.com/news/florida/florida-boy-6-dies-after-shooting-himself-in-the-head-police-say/1854454279,2019-03-16T19:31:36Z,WFLA,Couple,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
546,897,"Florida boy, 12, fights for his life: 'It's a prayer. It's a wish.'","Noah McKnight of DeFuniak Springs awaits a new heart at UF Health Shands Hospital in Gainesville.

DEFUNIAK SPRINGS — A 12-year-old fights for his life at UF Health Shands Children’s Hospital in Gainesville.

Born with hypoplastic left heart syndrome, a congenital defect to the left side of the heart that hinders blood circulation, Noah McKnight has spent more than 200 days at the hospital awaiting a heart transplant.

His father, Andrew McKnight, said although Noah has underwent three open-heart surgeries in the past, his heart can’t sufficiently support him as he continues to grow.

“It’s a waiting game,” Andrew said. “It’s God's choice when he’s going to fulfill that. It’s a prayer. It’s a wish. It’s hope. It’s faith. It’s very emotional.”

Andrew said he moved to DeFuniak Springs from Pennsylvania with his five children in 2015. His hope was to give them a life away from the big city.

Four years ago Noah was diagnosed with bronchial casts, large obstructions within the lungs, Andrew said. Things have continued to go downhill in the last two years, he added.

After being scheduled for surgery in Pennsylvania to have the casts removed, Andrew said they traveled to Gainesville last May to have a cardiac catheterization to see if Noah’s heart was healthy enough for surgery.

It wasn’t, and the two have been at the hospital’s pediatric center since.

“There’s no other options for Noah,” Andrew said. “Noah needs to have a heart. There’s no other surgeries, no nothing that can help him gain life more than what he has already.”

In the meantime, Andrew said his oldest son, 21-year-old Nathan, has stepped up and is looking after the rest of the McKnight crew in DeFuniak Springs.

Since Noah was admitted into the hospital, Andrew said a friend of the family started a GoFundMe account to help them stay on their feet.

“It’s been a hard ride as a single parent and just being separated from the kids,” said Andrew, who added those waiting for a transplant normally only have a few-hours notice before being admitted into surgery.

“He’s only got half a heart, but he’s got more heart than most people I know,” he said.

To help the McKnights, visit www.gofundme.com/5swpqn4",https://www.heraldtribune.com/news/20190315/florida-boy-12-fights-for-his-life-its-prayer-its-wish?rssfeed=true,2019-03-15T07:38:50Z,Sarasota Herald,Couple,"1777 Main St, Sarasota, FL 34236, USA",FL,34236
583,948,2-year-old Florida boy mauled to death by dogs,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

HIGH SPRINGS, Fla. (WESH) - A 2-year-old boy in Alachua County was mauled to death by two dogs Friday at his family’s home.

Officials with the Alachua County Sheriff’s Office said the attack happened around 10:30 a.m. at a home on Northwest 210th Avenue in High Springs.

Deputies said a woman was hospitalized with traumatic injuries. The boy was pronounced dead at the house.

Related Content:

Child mauled to death by family pit bull mix

Clearwater woman cleared over baby girl's dog mauling death

Woman mauled to death by dogs; grandchildren injured

Investigators said the incident remains under investigation, but they believe two dogs were involved. The dogs were ultimately fought off by the injured family member.

“This an incredible tragedy for the family involved,” said Lt. Brett Rhodenizer of the Alachua County Sheriff’s Office. “Our investigation will ultimately determine the facts that lead up to the attack, but no answers will ever make up for the loss of a child.”

The dogs involved were seized by Alachua County Animal Services, deputies said.",https://www.wfla.com/news/florida/2-year-old-florida-boy-mauled-to-death-by-dogs/1836124951,2019-03-08T20:30:46Z,WFLA,Couple,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
623,999,South Florida boy gets trapped in cooler during hide-and-seek,"<p>It was a typical Saturday for the Wanes family of Pompano Beach.</p><p>Until their 5-year-old son crawled into their cooler.</p><p>""I wanted to, like, play hide-and-go-seek,"" Nicholas Wanes said. ""But I, like, found, like, a not-good hiding spot inside the cooler.""</p><p>Robert and Maria Wanes said they were cleaning up after a day on their boat. They said they emptied and cleaned their 72-quart cooler and left it on their back deck. </p><p>Their surveillance camera captured Nicholas having some fun of his own after some family members went inside the kitchen.</p><p>""He decided to walk along and hop in the cooler,"" Robert Wanes said.</p><p>According to the time stamp on the surveillance video, Nicholas was inside for almost two minutes playing, while the top was slightly ajar, resting on the latch.</p><p>But that changed in a second.</p><p></p><p>Nicholas' fingers could be seen through the opening, moving the top and forcing the latch closed. He could not open the top from the inside.</p><p>""Really scared,"" Nicholas said, recalling how he screamed for help.</p><p>In seconds, the family is seen on video running out to the deck and realizing where Nicholas was. They opened the cooler and scooped Nicholas out.</p><p>""We just grabbed him for dear life,"" Maria Wanes said.</p><p>The family thinks the cooler has a design flaw. Robert Wanes told Local 10 News he believes it should not be so easy for the cooler to latch. He also believes there should be a way for it to be opened from the inside.</p><p>""I know we're all supposed to watch our kids and make sure they don't crawl into a cooler, but as we know, it only takes a second to turn the other way,"" he said.</p><p>Maria Wanes said her family was lucky.</p><p>""We don't want another family to not hear their child and go through this,"" she said.</p><p><a href=""https://www.local10.com/news/florida/broward/pompano-beach-boy-winds-up-trapped-in-cooler-during-game-of-hide-and-seek?"">Read the original report on Local10.com</a>.</p>",https://www.news4jax.com/news/florida/south-florida-boy-gets-trapped-in-cooler-during-hide-and-seek,2019-03-08T05:02:59Z,WJXT,Couple,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
637,1023,Trapped in cooler: Hide-and-seek turns dangerous for Florida boy,"<p>It was a typical Saturday for the Wanes family of Pompano Beach.</p><p>Until their 5-year-old son crawled into their cooler.</p><p>""I wanted to, like, play hide-and-go-seek,"" Nicholas Wanes said. ""But I, like, found, like, a not-good hiding spot inside the cooler.""</p><p>Robert and Maria Wanes said they were cleaning up after a day on their boat. They said they emptied and cleaned their 72-quart cooler and left it on their back deck. </p><p>Their surveillance camera captured Nicholas having some fun of his own after some family members went inside the kitchen.</p><p>""He decided to walk along and hop in the cooler,"" Robert Wanes said.</p><p>According to the time stamp on the surveillance video, Nicholas was inside for almost two minutes playing, while the top was slightly ajar, resting on the latch.</p><p>But that changed in a second.</p><p></p><p>Nicholas' fingers could be seen through the opening, moving the top and forcing the latch closed. He could not open the top from the inside.</p><p>""Really scared,"" Nicholas said, recalling how he screamed for help.</p><p>In seconds, the family is seen on video running out to the deck and realizing where Nicholas was. They opened the cooler and scooped Nicholas out.</p><p>""We just grabbed him for dear life,"" Maria Wanes said.</p><p>The family thinks the cooler has a design flaw. Robert Wanes told Local 10 News he believes it should not be so easy for the cooler to latch. He also believes there should be a way for it to be opened from the inside.</p><p>""I know we're all supposed to watch our kids and make sure they don't crawl into a cooler, but as we know, it only takes a second to turn the other way,"" he said.</p><p>Maria Wanes said her family was lucky.</p><p>""We don't want another family to not hear their child and go through this,"" she said.</p>",https://www.clickorlando.com/news/florida/trapped-in-cooler-hide-and-seek-turns-dangerous-for-florida-boy,2019-03-08T05:02:59Z,WKMG,Couple,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
652,1047,"Best Buy employees turn into ‘Dino Doctors,' help Florida boy with broken toy","0 Best Buy employees turn into ‘Dino Doctors,' help Florida boy with broken toy

JACKSONVILLE, Fla. - Two Best Buy employees went above and beyond to help a little boy from Florida.

Jordan’s best friend is his dinosaur toy. His mom, Niah Negron, said that her 3-year-old son takes the dinosaur, which he got for Christmas, everywhere. He either is holding it in his hand or it is stuffed in his shirt, ABC News reported.

But the dino lost his head last month and Jordan was heartbroken.

TRENDING NOW:

Negron was able to get the identical toy online at Best Buy and picked it up the same day. But like most kids, Negron said Jordan wouldn’t accept a replacement, he would only accept his “baby.”

So when the mother and son went to the store, she told the employees what had happened.

“We are here for a very delicate matter,” Negron said she told the workers. “You see, we need a dinosaur doctor as the head has broken off of our baby dinosaur.”

Luckily the workers played along.

Tina and Stephanie rushed the baby dino to “surgery,” but in reality, were swapping out the broken toy with a new one, ABC News reported.

As they got the new toy out of the package, they told Jordan, “Just a few more stitches.”

“They pulled off this elaborate hoax with bright smiles and quick action,” Negron wrote on Facebook.

>> Read more trending news

>> Need something to lift your spirits? Read more uplifting news

Tina said she didn’t know how big of a deal it was when the “surgery” happened. “But when he saw the dinosaur his whole demeanor changed -- his face lit up so much. We made that little boy’s day.”

If the dino gets broken again, the “dinosaur doctors” have a plan. Stephanie pulled and bought the only other matching dinosaur so they have an emergency backup.

News of the impromptu dinosaur doctors got back to the Best Buy home office, and they were officially promoted to “Dinosaur Doctor” and it’s now documented on their badges, ABC News reported.

© 2019 Cox Media Group.",https://www.wftv.com/news/trending-now/best-buy-employees-turn-into-dino-doctors-help-child-with-broken-toy/927596048,2019-03-05T14:54:08Z,WFTV,Couple,"490 E South St, Orlando, FL 32801, USA",FL,32801
653,1049,"Teenager Charged In Murder Of Florida Boy, 16","<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/03/elisha-martin-mug-edit.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/03/elisha-martin-mug-edit.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/03/elisha-martin-mug-edit.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A horrific story is coming into focus along Florida’s east coast.",https://miami.cbslocal.com/2019/03/03/teenager-charged-in-murder-of-florida-boy-16/,2019-03-03T17:59:13Z,CBS Miami,Couple,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
680,1098,"Florida boy, 10, runs 50th mile for fallen law enforcement officers","Zechariah Cartledge, a 10-year-old Florida boy who has been running in honor of fallen law enforcement officers, ran his 50th mile on Wednesday, WJHL reports.

The dedicated youth, from Winter Springs near Orlando, dashed his latest mile Wednesday with the help of a fully-geared local police officer and an officer trailing in a police cruiser. Supportive neighbors cheered him on as he completed the feat.

Zechariah’s father, Chad Cartledge, says his son has been running in honor of every officer lost in 2018 and 2019 since January 12.

Zechariah lives thousands of miles away from his latest honored fallen officer, Sgt. Steve Hinkle. Hinkle was slain after being struck by a bullet last weekend in East Tennessee.

The youngster, who starts off each run with a prayer, has recently captured the attention of Florida Gov. Rick DeSantis. Zechariah was awarded the state's first-ever ""Back the Blue Award"" Tuesday for his efforts.

Today, I announced the new Back the Blue campaign to highlight brave law enforcement officers and Floridians who back them. I am excited to present the first Back the Blue Award to 10-year-old Zechariah Cartledge!https://t.co/WjyaN68ztYpic.twitter.com/Fl8aLFgF5K

— Fla. AG Ashley Moody (@AGAshleyMoody)February 26, 2019



Read more here.



More trending stories

Florida Travel: You have to see these 5 natural springs in Florida

Know your snakes: Florida’s 6 venomous serpents

Disney tickets: There’s still time for this Florida resident deal

VIDEO: Massive gator chomps 10-foot python like chew toy

Things to do in Florida: Live your best life with this 2019 Florida Bucket List



Laura Jazmin Tolliver is a digital reporter for GateHouse Media Group’s Florida team, based in West Palm Beach, Fla. Jaz’s stories, which run across digital, print and video platforms, are syndicated across the 22 Florida newspaper markets.



",https://www.dailycommercial.com/news/20190301/florida-boy-10-runs-50th-mile-for-fallen-law-enforcement-officers?rssfeed=true,2019-03-01T19:20:00Z,Daily Commercial,Couple,"212 E Main St, Leesburg, FL 34748, USA",FL,34748
681,1099,Civil rights complaint filed after Florida boy arrested in Pledge dispute,"LAKELAND, Fla. - A civil rights complaint has been filed on behalf of a Florida sixth-grader who was arrested after his refusal to stand for the Pledge of Allegiance triggered a confrontation.

Tampa attorney Roderick Ford filed the complaint Monday with the U.S. Department of Education.

The Ledger reports the complaint says the 11-year-old's civil rights were violated by a ""reprisal"" for exercising his constitutional right not to say the pledge Feb. 4 at Lawton Chiles Middle Academy. It also says the school resource officer unlawfully arrested and committed battery on a child, and the school subjected him to racial discrimination.

Lakeland police said the student was disruptive and made threats after a substitute teacher ordered him to stand.

Polk County School District attorney Wes Bridges said he hadn't yet seen the complaint.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/civil-rights-complaint-filed-after-florida-boy-arrested-in-pledge-dispute,2019-03-01T16:06:53Z,WKMG,Couple,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
781,1273,11-year-old Florida boy arrested for confrontation after refusal to stand for Pledge,"The Lawton Chiles Middle Academy sixth-grader allegedly told a substitute teacher that “the flag is racist and the national anthem is offensive to black people.”

LAKELAND — An 11-year-old Lawton Chiles Middle Academy student was arrested Feb. 4 and charged with disrupting a school function and resisting arrest without violence following a confrontation with school officials and a law enforcement officer.

The incident happened after his refusal to stand for the Pledge of Allegiance and his refusal to stand after ordered by the substitute teacher.

Polk County Public Schools spokesman Kyle Kennedy said the sixth-grader “was arrested after becoming disruptive and refusing to follow repeated instructions by school staff and law enforcement.”

Kennedy said he wanted to make it clear that the student was not arrested for refusing to participate in the pledge.

“Students are not required to participate in the Pledge of Allegiance,” Kennedy said.

Gary Gross, a spokesman for the Lakeland Police Department, said he could not legally comment because the case involved a minor charged with a misdemeanor.

According to a report on Bay News 9, the student allegedly told a substitute teacher that he didn't want to stand for the Pledge of Allegiance, that “the flag is racist and the national anthem is offensive to black people.”

District officials said the teacher's name is Ana Alvarez. Kennedy said she was not aware of district policy regarding the pledge as voluntary.

She allegedly told the student, ""Why if it was so bad here he did not go to another place to live?""

Dhakira Talbot, the boy's mother, told Bay News 9 that the teacher's actions were inappropriate and that her son should not have been suspended.

""She was wrong. She was way out of place,"" Talbot said. ""If she felt like there was an issue with my son not standing for the flag, she should've resolved that in a way different manner than she did.""

Kennedy said he could not discuss the student's discipline. He said Alvarez will no longer serve as a substitute in Polk County Public Schools and that they will be reviewing their training policy with the outside agency that handles hiring substitute teachers.

“Our HR department will contact Kelly Services, which provides our substitutes, to further refine how our substitutes are trained,” Kennedy said.

Kimberly C. Moore can be reached at kmoore@theledger.com or 863-802-7514. Follow her on Twitter at @KMooreTheLedger.",https://www.newsherald.com/news/20190217/11-year-old-florida-boy-arrested-for-confrontation-after-refusal-to-stand-for-pledge?rssfeed=true,2019-02-17T19:28:03Z,Panama City News Herald,Couple,"501 W 11th St, Panama City, FL 32401, USA",FL,32401
