,Unnamed: 0,Title,Summary,Link,Time,Source,Category,Address,State,Zip
187,273,"Florida girl, 15, missing with her two-month-old baby","ESCAMBIA COUNTY, Fla. - The Escambia County Sheriff's Office is searching for a missing 15-year-old and her two-month-old child.

They say Mykala Shanique Legg and Tyauvion Morris were last seen leaving a home early Sunday morning on Flaxman Steet.

It is unknown who they could be with or where they are heading.

If you have any information on Mykala or her child Tyauvion’s whereabouts, call the ECSO at 436-9620.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/florida/florida-girl-15-missing-with-her-two-month-old-baby,2019-04-15T13:14:24Z,WJXT,Couple,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
188,274,15-year-old Florida girl missing with her two-month-old baby,"- The Escambia County Sheriff's Office reported that 15-year-old Mykala Shanique Legg and her two-month-old child, Tyauvion Morris, is missing.

They said that Legg was last seen early on Sunday morning leaving a home on the 6000th-block of Flaxman Street. She left her home with her child.

If you have any information on Mykala or her child's whereabouts, call the Escambia County Sheriff's Office at 850-436-9630.

This story was written out of Orlando, Florida.",http://www.fox35orlando.com/news/local-news/15-year-old-florida-girl-missing-with-her-two-month-old-baby,2019-04-15T12:27:35Z,FOX 35 ORLANDO,Couple,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
238,346,"6-year-old Florida girl dies after shooting, search for suspect still underway","- Six-year-old Elizabelle Frenel, who was one of three victims shot during a domestic dispute in Haines City earlier this week, has died.

Haines City Police Department said that there was a domestic dispute at the Citrus Ridge Apartments on Friday night. They say that 38-year-old Ernst Cherizard shot 23-year-old Eli Normil and her daughter, Elizabelle.

When Normil's family came to check on her, Cherizard reportedly told them she wasn't there. Her aunt, 48-year-old Nicole Guillume, returned to the apartment and an argument ensued. That's when police say Cherizard shot Guillume, killing her.

When officers arrived to the scene, they found Eli and Normil dead. Elizabelle was alive but brain dead. She was shot three times, including once in the head. Elizabelle was transported to the Arnold Palmer Hospital in Orlando. She was pronounced dead late on Saturday night, despite doctor's efforts to save her life.

Police are still searching for the suspected gunman, Ernest Cherizard. They say that he fled in a burgundy 2011 Nissan Altima, license plate GZN C82. He is armed and dangerous. A toll booth 200 miles away near Fort Lauderdale recorded the plate early Saturday.

The victims' family is stunned. “I was traumatized,” said Normil’s brother, Annel, “I spoke to her two days ago and she was like 'I'm doing good bro, I'm working.' She's the manager at one of the fast food restaurants in the Haines City area.”

“I don't really know him that much. He always talk to me like he care for my sister. That he want to marry her, one day. He always seemed cool to me. I don't think he would ever have done something like that,” Annel Normil added.

The victim's family has set up a GoFundMe page to pay for their funerals and other expenses.",http://www.fox35orlando.com/news/local-news/6-year-old-florida-girl-dies-after-shooting-search-for-suspect-still-underway,2019-04-14T13:09:00Z,FOX 35 ORLANDO,Couple,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
239,347,"Deputies: Florida girl, 2, dies in hot car parked outside apartment where mother was sleeping","Sign in using you account with: {* loginWidget *}

Sign in using your wftv profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.wftv.com/news/local/police-florida-girl-2-dies-in-hot-car-parked-outside-apartment-where-mother-was-sleeping/939516862,2019-04-12T16:14:24Z,WFTV,Couple,"490 E South St, Orlando, FL 32801, USA",FL,32801
240,348,2-year-old Florida girl dies after being left in hot car all day,"PENSACOLA, Fla. - A 36-year-old Florida woman slept as her 2-year-old daughter died in a car parked outside her apartment, authorities said.

The Pensacola News Journal reported that Jessica Monell faces charges of homicide-neglect manslaughter, child neglect and possession of a controlled substance.

Escambia County Sheriff's Maj. Andrew Hobbs said Monell arrived at the Aqua Porta Apartments around 6 a.m. Wednesday, went inside and apparently fell asleep until shortly before 4 p.m. He said she left her daughter, Joy Monell, in the car until then.

Hobbs said investigators found three bags containing suspected crystal meth and other drugs in Monell's home.

The National Oceanic and Atmospheric Administration recorded a heat index of 82 degrees in Pensacola on Wednesday.

A lawyer wasn't listed for Morell.

Copyright 2019 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",https://www.news4jax.com/news/florida/2-year-old-florida-girl-dies-after-being-left-in-hot-car-all-day,2019-04-12T15:25:50Z,WJXT,Couple,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
299,447,Missing 15-year-old Florida girl found safe,"- Update: The Florida Department of Law Enforcement says the teen has been found safe.

The Florida Department of Law Enforcement (FDLE) needs the public's help finding a missing and endangered 15-year-old girl.

Emily Berry, was last seen leaving her home in Reddick, Florida, according to FDLE.

Emily is 5' 2"", around 110 pounds with brown hair and brown eyes. She was last seen wearing white jeans, a grey 'Mossy Oak' sweatshirt and light pink shoes.

Her family says that Emily is autistic and they are concerned for her safety.

Anyone with information is asked to call the Marion County Sheriff's Office at 352-732-9111.",http://www.wogx.com/news/missing-child-alert-issued-for-15-year-old-florida-girl,2019-04-06T22:47:08Z,WOGX,Couple,"4727 NW 53rd Ave, Gainesville, FL 32653, USA",FL,32653
300,448,Missing child alert issued for 15-year-old Florida girl,"- The Florida Department of Law Enforcement (FDLE) needs the public's help finding a missing and endangered 15-year-old girl.

Emily Berry, was last seen leaving her home in Reddick, Florida, according to FDLE.

Emily is 5' 2"", around 110 pounds with brown hair and brown eyes. She was last seen wearing white jeans, a grey 'Mossy Oak' sweatshirt and light pink shoes.

Her family says that Emily is autistic and they are concerned for her safety.

Anyone with information is asked to call the Marion County Sheriff's Office at 352-732-9111.",http://www.fox35orlando.com/news/local-news/missing-child-alert-issued-for-15-year-old-florida-girl,2019-04-06T12:49:31Z,FOX 35 ORLANDO,Couple,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
314,473,Missing child alert for 15-year-old Florida girl,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Florida Department of Law Enforcement Tallahassee

REDDICK, Fla. (WFLA) - A missing child alert has been issued for a 15-year-old from Reddick, Florida.

Emily Berry was last seen headed northbound in the 1500 block of Highway 441.

She is described as a white female, 5 feet 2 inches tall, 175 pounds, brown hair, and brown eyes, wearing a gray ""Mossy Oak"" sweatshirt with white jeans and light pink shoes. If you have any information on the whereabouts of Berry contact the Marion County Sheriff's Office at 352-732-9111 or 911.",https://www.wfla.com/news/florida/missing-child-alert-for-15-year-old-florida-girl/1904361114,2019-04-06T12:23:39Z,WFLA,Couple,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
364,549,"Florida girl, 10, dies after hitting tree while skiing","FRISCO, Colo. - A skier who died after hitting a tree at Breckenridge has been identified as a 10-year-old Florida girl, officials said.

The Summit Daily reports the Destin girl crashed on Peak 10 on March 21 and died at a nearby hospital. Investigators say they are withholding her name as a courtesy to her family.

No other information was released about the circumstances of the death, which marked the seventh skiing fatality in the county this season.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/florida-girl-10-dies-after-hitting-tree-while-skiing,2019-04-02T10:40:13Z,WKMG,Couple,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
384,574,"Skier who died after hitting tree was Florida girl, 10",,http://weartv.com/news/local/skier-who-died-after-hitting-tree-was-florida-girl-10,2019-04-02T21:07:30Z,WEAR,Couple,"4990 Mobile Hwy, Pensacola, FL 32506, USA",FL,32506
