,Title,Summary,Link,Time,Source,Address,State,Zip
17,Woolbright Road shut down after a pedestrian was struck by a train,"Woolbright Road shut down after a pedestrian was struck by a train

Boynton Beach Police Department are investigating an accident in which a pedestrian was struck by a train Sunday morning.BBP say the woman has died. BBP detectives are investigating the accident.Woolbright Road is completely shut down at the FEC tracks. Police are asking drivers to avoid the area and seek alternate routes.WPBF will update this developing story when more information is available.

Boynton Beach Police Department are investigating an accident in which a pedestrian was struck by a train Sunday morning.

BBP say the woman has died. BBP detectives are investigating the accident.

Advertisement

Woolbright Road is completely shut down at the FEC tracks. Police are asking drivers to avoid the area and seek alternate routes.

WPBF will update this developing story when more information is available.

AlertMe",https://www.wpbf.com/article/woolbright-road-shut-down-after-a-pedestrian-was-struck-by-a-train/27445841,2019-05-12T15:31:00Z,WPBF-TV,"Northcorp Business Park, Palm Beach Gardens, FL 33410, USA",FL,33410
18,"Marion Co. deputies searching for missing, endangered woman","Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Marion County Sheriff's Office

MARION, Fla. (WFLA) - The Marion County Sheriff's Office is seeking the public's help to find a missing, endangered woman.

Patricia Welsh, 66, left her 160th Court home on May 6 and hasn't been seen since, according to the Marion County Sheriff's Office.

She possibly left her home on foot and it is not known what she was wearing.

The sheriff's office says Ms. Welsh has displayed behavior that has caused concern for her well-being. If you have any information on Patricia's whereabouts, please call 911.",https://www.wfla.com/news/florida/marion-co-deputies-searching-for-missing-endangered-woman/1997561917,2019-05-12T15:23:41Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
19,"Traffic Alert: Woman hit, killed by Hummer on I-75",,http://www.wfla.com/video/traffic-alert-woman-hit-killed-by-hummer-on-i-75_20190512111504/1997389654,2019-05-12T11:15:25Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
20,Florida man who stood on sunroof while driving accused of felony domestic violence,"POLK COUNTY, Fla. (WFLA ) - A driver made a lot of people laugh this week when he stood up on his sunroof with his car on cruise control while driving on Interstate 4. But the story behind the story isn't funny at all.

The Polk County Sheriff's Office said 70-year-old Leonard Olsen was arrested not only for driving recklessly, but also for false imprisonment and domestic violence by strangulation.

RELATED: Florida man arrested for hanging out sunroof while driving on I-4

According to an arrest report, Olsen is accused of choking a 69-year-old woman on April 30 after she took too long to come to bed. The woman told deputies she had bruises on her throat and a hoarse voice.

Days later, after the woman came home from dinner, he allegedly ripped up the dress she had been wearing, accused her of having an affair and called her a vulgar name. Then he asked her for one of her bras and threatened to destroy every bra in her dresser. When she eventually gave him a bra, he tore it apart and demanded that she give him the pair of underwear she had been wearing. When she told him she was still wearing the underwear, he began ""pulling on the underwear causing the victim's body to shake back and forth until the underwear came loose from the victim's body,"" an arrest report states.

Once he was through destroying all of her clothing, Olsen began blaring music so she couldn't fall asleep. This lasted several hours, according to the victim.

The next day, the victim awoke to Olsen slamming dresser drawers, turning the lights on and off, and blaring music. Deputies said he pushed her onto their bed, straddled her and put his hand on her throat, then placed his thumb on her mouth, which she bit. Olsen got off of her and blocked the doorway to prevent her from leaving the room. After a few minutes, he let her pass through the doorway and she called 911.

The Polk County Sheriff's Office said detectives made contact with Olsen by phone on Tuesday and he agreed to turn himself in.

As deputies were on their way to meet him, they learned he had been pulled over by the Florida Highway Patrol for driving recklessly.

Olsen was arrested and booked into the South County Jail, where he faces three counts of felony domestic battery on a person 65 or older, one count of felony false imprisonment and one count of felony domestic battery by strangulation.",http://www.wfla.com/news/polk-county/lakeland-man-who-stood-on-sunroof-while-driving-accused-of-felony-domestic-violence/1997065259,2019-05-12T03:59:05Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
22,Happy 108th birthday to Jacksonville woman,"Mrs. Louisa Gunter will be 108 years old on Monday

JACKSONVILLE, Fla. - She has a beautiful smile and we're in awe of her. That's what most people say when they meet Louisa Gunter, who will turn 108 years old on Monday. Her milestone birthday was celebrated on Saturday at her Baldwin home.

There were cake and all the frills for Gunter's party for the birthday girl. Her family and friends came to her home to help celebrate her birthday.

Gunter has nine children, 26 grandchildren, 36 great-grandchildren, and six great great grandchildren.

She was the 14th of 15 children born in Levy, Florida but has been living in Baldwin, Florida for more than 80 years.

Gunter also had a son, Almon, who died three weeks ago at the age of 76, right after his April birthday.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/happy-108th-birthday-to-jacksonville-woman,2019-05-11T22:25:12Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
24,FHP: Satsuma woman killed in hit-and-run crash,"JACKSONVILLE, Fla - A Satsuma woman was struck and killed early Saturday morning in a hit-and-run crash in San Mateo, according to the Florida Highway Patrol said.

Lindsey Walker, 31, was walking along U.S. 17 near Bear Boulevard in Putnam County when she was hit and killed by an unknown vehicle at 4:30 a.m., troopers said.

Putnam EMS said Walker died at the scene and the driver of the vehicle drove off, FHP said.

Troopers have not released a description of the vehicle invovled in the crash.

The Highway Patrol continues to investigate.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/florida/putnam-county/satsuma-woman-killed-in-hit-and-run,2019-05-11T13:33:48Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
26,Body found in retention pond behind Winn-Dixie,"Woman fatally struck by Hummer in Ruskin

Next

NBC's plans for its new fall schedule.",https://www.wfla.com/video/body-found-in-retention-pond-behind-winn-dixie_20190512231327/1998181478,2019-05-12T23:13:30Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
29,"Off-duty PBSO deputy hospitalized, Wellington woman killed after head-on crash",,http://cbs12.com/news/local/off-duty-pbso-deputy-hospitalized-wellington-woman-killed-after-head-on-crash,2019-05-12T17:02:42Z,WPEC,"1100 Fairfield Dr, West Palm Beach, FL 33407, USA",FL,33407
30,Woman killed after getting struck by train in Boynton Beach,,http://cbs12.com/news/local/woman-killed-after-getting-struck-by-train-in-boynton-beach,2019-05-12T15:00:26Z,WPEC,"1100 Fairfield Dr, West Palm Beach, FL 33407, USA",FL,33407
31,Woman hit and killed on I-75 in Ruskin,"- A woman was hit and killed as she crossed I-75 early Sunday morning. The driver of the Hummer that hit her stayed on the scene.

Southbound lanes of I-75 at SR 674 were closed for nearly five hours as the Florida Highway Patrol investigated.

There are no streetlights in this stretch of the highway.

The woman’s identity has not been released at this time.

FHP says charges are pending.



Continue reading below",http://www.fox13news.com/news/local-news/woman-hit-and-killed-on-i-75-in-ruskin,2019-05-12T14:30:39Z,FOX 13 NEWS,"3213 W Kennedy Blvd, Tampa, FL 33609, USA",FL,33609
33,Behind the phone lines with 911 dispatchers,"ORLANDO, Fla. - “What’s your emergency?”

Gregory Johnston, a dispatcher with Orange County Fire Rescue, calmly responds to what is being described as one woman’s extremely bad day.

The woman started having chest pains which led her into a car accident earlier in April in Apopka.

Johnston sat in a darkly lit room, most of the illumination coming from the seven computer screens he has in front of him, while listening to the caller.

In the span of about 60 seconds, Johnston obtained the location, the nature of the problem, a call back number, provided the nearest fire department with appropriate information and reassured the woman that everything was going to be OK.

Everything Johnston gathered and performed in that 60 seconds is standard operation in the life of dispatch.

It’s often overlooked when thinking about emergency operations.

The hours are long.

The job is thankless.

The turnover is high, and yet Orange County Fire Rescue’s dispatchers are one of the most important cogs in the emergency response machine.

Johnston, an assistant supervisor who has been with dispatch for more than 20 years, has seen a lot of folks come and go.

“This job is not for everybody,” Johnston said. “If you can’t deal with stress or you take things personally or you don’t like long hours, this is not the job for you.”

OCFR has one of the largest coverage zones in the Sunshine State, as a result the dispatch receives a huge amount of calls — 124,006 just from 2018, according to OCFR’s annual report.

The dispatch center is currently understaffed with 36 employees. The 2018 annual report listed 57 dispatchers at the end of the year.

Currently the department is seeking to fill out its ranks to 52 dispatchers.

As things stand right now, dispatchers are working on average an additional 20 hours of overtime tacked onto their 40 hour work weeks.

“Oh, I’m sure they want to hire more people as fast as they can,” Johnston said laughing about overtime. “The long hours, that’s truly the hardest part — being away from your family so long.”

On the topic of family, there are some rare occurrences where a dispatcher picks up the phone and a family member is on the other line having an emergency.

“It’s pretty rare, but it does happen from time to time,” Johnston said.

Like the time Johnston picked up the line and listened to his aunt enter a cardiac event in 2015.

Barbara Young, 82 at the time, called 911. Johnston picked up the phone and recognized his aunt’s voice.

“It was a little more than personal for me than anything before,” he said.

But he stayed professional, got the essential information and his aunt survived.

“911 dispatchers are the actual lifeline between those who need help and those emergency personnel who respond to that need,” said Orange County Mayor Jerry L. Demings in reference to National Telecommunicators Week observed earlier in April. “While they often work behind the scenes, what they do is so critical. I’m very much appreciative of their service, as are the many residents and visitors in our community who have had to call upon them in their moment of need.”

Dispatchers abide by a very strict guideline of responses for the most common kinds of scenarios. The call center’s stringent process earned it an accreditation from the International Academies of Emergency Dispatch, which is a global organization which recognizes emergency call centers that exemplify the standard of excellence.

Christopher Englehart, 27, started work as a dispatcher earlier this year. He was a former cake decorator at Publix Super Markets.

One of the big reasons that motivated Englehart to join dispatch was watching the men and women who served on June 12, 2016 after the massacre at the Pulse Night Club, Englehart said.

“Watching the Sheriff’s Office and Fire Rescue do what they did that day, it moved me into this field as well,” he said. “I want to help people.”

Some of the more common calls the center receives are concerns about chest pain, but Englehart’s first call was about a bomb threat at Wekiva High School.

Six weeks before, he was training on the first floor of Orange County Fire Rescue’s headquarters, beneath the call center, and going over how to respond to various scenarios. He was already reasonably nervous on his first day of the job but his first call didn’t leave him time to think about his anxiety. He said it pushed him into the deep end of the pool and — to his surprise — he began swimming.

“There’s no amount of preparation downstairs that they can give you that will completely prepare you for up here,” Englehart said.

He recorded the information about possible suspects in the area armed with weapons and informed the fire crew where to go until Orange County Sheriff’s Office gave the all clear.

Luckily, it was a false alarm, but the experience acclimated Englehart quickly.

“People on the street don’t know I am a dispatcher,” Englehart said. “It’s one of those jobs that you never see. You just hear about it. And while everyone wants to be recognized for what they do, making sure people get what they need is what is most important to me.”

Copyright 2019 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",https://www.news4jax.com/news/florida/behind-phone-lines-with-dispatchers,2019-05-12T11:35:55Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
34,Shots fired near UF campus prompt emergency alert,"GAINESVILLE, Fla. - Shots fired near the University of Florida prompted alerts from the university's emergency system Saturday.

UF's spring term recently ended. Many students have already left town.

Police said one suspect was detained. Officers are still looking for a man and a woman who drove away in a white Ford SUV.

No injuries or deaths were reported.

The shots were fired in the College park neighborhood north of West University Avenue.

Investigators spoke with neighbors who heard an argument among several people before the gunshots.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/florida/alachua-county/shots-fired-near-uf-campus-prompt-emergency-alert,2019-05-12T03:17:36Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
35,"Family friend forced 12-year-old to get birth control implant, mom says","(WTAE) - A Pennsylvania mother was horrified to learn a family friend forced her 12-year-old daughter to get on birth control.

The woman allegedly took the girl to a health clinic -- where she got an implantable birth control device. She was supposed to be taking her to school.

Misty Evans says her daughter has babysat for the woman's daughter in the past-- and even slept over at her house. The Pennsylvania Department of Health says federal law prohibits clinicians from requiring parental consent to get birth control.

Evans said what concerns her is her daughter did not want the contraceptive.

""The family friend forced her and told her she had to have it because she was 12 years old,"" Evans said.

Evans said she has seen paperwork where the woman claimed to be her daughter's aunt. She her daughter was so shaken by the experience that she didn't admit it until a month after it happened.

Police are investigating the matter --though they say they're not yet sure what the potential charge would be.",http://www.wfla.com/national/family-friend-forced-12-year-old-to-get-birth-control-implant-mom-says/1996979290,2019-05-12T01:37:38Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
36,"Deputies investigate suspicious deaths of man, woman in Nocatee","<p>The St. Johns County Sheriff's Office responded Saturday afternoon to investigate the suspicious deaths of a man and woman in a Nocatee neighborhood.</p>

<p>Deputies were called to 203 Southern Oak Drive, in The Palms at Nocatee neighborhood near Twenty Mile Park.</p>

<p>Detectives said the man and woman were found dead by a family member and friend around noon on Saturday. They went to check on the woman after not hearing from her. </p>

<p>It's unclear what the relationship was between the man and woman. St. Johns County Sheriff's Office spokesman Chuck Mulligan said it appears the bodies may have been in the home for a while.</p>

<p>""There doesn't appear to be any threat to the community here, that's a positive, but on the negative, we have two deceased individuals and that's never good no matter what the circumstances are,"" Mulligan said. ""We haven't released any evidence of what we found in the house at this point and time, but detectives were able to say that it was not a natural death.""     </p>

<p>Part of the investigation will be for deputies to determine if there are weapons in the home.</p>

<p></p>

<p>""It's heartbreaking. I'm heartbroken for her. I'm really dumbfounded and can't really process it,"" neighbor Jane Amorim said.  </p>

<p>Neighbors said they didn't hear anything but they did notice a car parked there since last Thursday.</p>

<p>""(It's) just the car that parked there for just a little bit too long, and I kind of feel neglectful for not having paid more attention to the car and you ignore it. I realize now, it was odd,"" Amorim said.</p>

<p>An autopsy could be done as soon as Monday.</p>

<p>""She was very outgoing, willing to share and wanting to integrate into our little community,"" said neighbor Nicholas Romano.</p>

<p>Neighbors said the woman was a real estate agent. They said she was sweet and new to the community. They said she would walk her dog in the neighborhood and Amorim said they bonded over their dogs.</p>

<p>""I'm sorry that I didn't get more time to get to know her, Amorim said. </p>

<p>Neighbors said the woman had taken out a restraining order against a man she claimed was stalking her, but that has not been confirmed by police.</p>

<p>""She seemed very, very lovely and didn't seem to have any stress and was very happy to be here and was looking toward a future of living here in Nocatee,"" Romano said. </p>

<p> The identities of the victims have not been released.</p>

<p></p>

<p>""She didn't deserve that,"" Amorim said. ""Nobody does, but having known her personally it's all the sadder.""</p>",https://www.news4jax.com/news/deputies-investigate-suspicious-death-near-nocatee-neighborhood,2019-05-11T18:29:46Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
37,'Snarling' woman found at Burger King pulls 7 syringes from body cavity,"- Deputies in Largo, Florida arrested a woman who they suspect of using drugs after finding her in a Burger King bathroom 'snarling and yelling.'

According to the Pinellas County Sheriff's Office, Jeymie Wescott, 35, was at the fast food restaurant on Tuesday when deputies received reports of a woman yelling from inside the bathroom.

When they arrived, they said Wescott ""showed several indicators of narcotics usage."" According to an arrest affidavit, after Wescott consented to a search, a deputy ""felt something hard"" near the woman's groin area and Westcott yelled an expletive.

After refusing to tell deputies what she was hiding, she reportedly was taken to jail where, according to deputies, she pulled out 7 syringes from her private area that had a ""clear substance inside.""

Wescott was charged with possession of drug paraphernalia and resisting an officer without violence. In addition, since deputies said she brought drugs into the jail, she was also charged with the introduction and possession of contraband in a county detention facility.",http://www.fox35orlando.com/home/-snarling-woman-found-at-burger-king-pulls-7-syringes-from-body-cavity,2019-05-11T14:45:11Z,FOX 35 ORLANDO,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
38,"Satsuma woman killed in hit and run, FHP said","JACKSONVILLE, Fla - The Florida Highway Patrol is looking for the driver who killed a pedestrian early Saturday morning.

Lindsey Walker, 31, was struck and killed by an unknown vehicle as she walked along northbound US-17 near Satsuma in Putnam County at 4:30 am.

Walker was pronounced dead on the scene by Putnam EMS, according to FHP.

She landed on the east grassy shoulder after she was struck. Troopers have not released a description of the driver nor car.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/satsuma-woman-killed-in-hit-and-run,2019-05-11T13:33:48Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
