Title,Summary,Link,Time,Source,Address
"Man killed, woman wounded in shootout involving rapper outside Florida Trump Resort","Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. (Photo by Joe Raedle/Getty Images)

SUNNY ISLES BEACH, Fla. - A man was killed and a woman was wounded during a shootout Sunday outside the Trump International Beach Resort in Sunny Isles Beach, authorities said.

Witnesses said the shooting started around 1:30 p.m. when two groups of rappers got into an argument outside the resort and exchanged gunfire.

A friend of the man who was killed told Local 10's Sanela Sabovic that the man -- an employee of Hertz Rental Car -- was caught in the crossfire when the two entourages began firing.

Paramedics transported the 19-year-old woman to Aventura Hospital and Medical Center. Her condition was not disclosed. Witnesses said the woman was the girlfriend of rapper NBA YoungBoy, who was scheduled to perform Sunday at the Rolling Loud music festival in Miami Gardens.

Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. NBA YoungBoy performs at the Lil' WeezyAna Fest at Champions Square on Friday, Aug. 25, 2017, in New Orleans. (Photo by Amy Harris/Invision/AP)

Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. NBA YoungBoy performs at the Lil' WeezyAna Fest at Champions Square on Friday, Aug. 25, 2017, in New Orleans. (Photo by Amy Harris/Invision/AP)

Police are searching for a silver GMC Yukon with Florida tag BNE 3360. Police are looking for three suspects. Police said the suspects were armed with an AK-47 and several handguns.

Aventura police said in a statement that they were investigating a second shooting that may be related to the incident at Trump International Beach Resort.

Aventura police said a driver was shot and described his injuries as not life-threatening.

""An incident happened in Sunny Isles. We are working with investigators to see if they are related. Neither indicates a hate crime or terrorist event,"" Aventura police said.",http://www.wkrn.com/news/national/man-killed-woman-wounded-in-shootout-involving-rapper-outside-florida-trump-resort/1998156944,2019-05-12T23:06:35Z,WKRN,"441 Murfreesboro Pike, Nashville, TN 37210, USA"
"In the weeds: Florida man racks up $30K in fines for tall grass, could lose home","Sign in using you account with: {* loginWidget *}

Sign in using your kiro profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.kiro7.com/news/trending-now/in-the-weeds-florida-man-racks-up-30k-in-fines-for-tall-grass-could-lose-home/948686765,2019-05-12T23:05:54Z,KIRO,"2807 3rd Ave, Seattle, WA 98121, USA"
Neighbors identify woman found dead with dead man in Nocatee home,"NOCATEE, Fla. - Neighbors identify the woman found dead in a Nocatee home Saturday as Lynn Bender. That name matches what public records show about who lived at this home. Bender worked as a realtor for Remax. She lives one street over and she was supposed to host an open house at this home yesterday morning from 11 to 2 and when she didn't show up, that's when people started making calls.

The St. Johns County Sheriff's Office responded Saturday afternoon to investigate the suspicious deaths of a man and woman at 203 Southern Oak Drive in Nocatee.

Neighbor said their neighbor called her boss who called her family member who then came to check on her and found her and a man dead inside.

The St Johns County Sheriff's office has not released the details involving how the two died or the relationship. But the Clerk of Courts website shows Bender had filed a petition for an injunction against a man named Simon Hanley in December 2018. The injunction was filed against stalking violence.

Neighbors say they saw an odd man in the past at her home.

""She had taken out a restraining order against someone and the particular person was the one that I know now was odd and we should've cautioned her against spending time with him but she had a big heart and she couldn't help but want to help others,"" said neighbor Jane Amorim.

Neighbors say it was a rough night for them and people are torn up about this.

People are posting on facebook that she was a really sweet person and sending prayers to her loved ones.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/florida/st-johns-county/neighbors-identify-woman-found-dead-in-nocatee-home,2019-05-12T21:56:15Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA"
"Man killed, woman wounded in shootout in Sunny Isles Beach","SUNNY ISLES BEACH, Fla. - A man was killed and a woman was wounded during a shootout Sunday outside the Trump International Beach Resort in Sunny Isles Beach, authorities said.

The shooting happened around 1:30 p.m. Sunday outside the resort in the 18000 block of Collins Avenue.

Paramedics transported the 19-year-old woman to Aventura Hospital and Medical Center. Her condition was not disclosed.

This is a breaking news story. It will be updated.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/florida/miami-dade/man-killed-woman-wounded-in-shootout-involving-rapper-youngboy-never-broke-again,2019-05-12T19:06:19Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA"
Rapper AAB Hellabandz killed outside South Beach nightclub,"MIAMI BEACH, Fla. - Chicago rapper AAB Hellabandz was shot and killed outside a South Beach nightclub early Saturday, authorities confirmed Sunday.

AAB Hellabandz, whose real name is Ameer Golston, and another man were shot around 2:45 a.m. Saturday outside the Cameo nightclub in the 200 block of Espanola Way. Golston, 24, was pronounced dead at the scene.

Earlier this year, Golston made headlines in the entertainment press after briefly dating reality star Blac Chyna.

Paramedics rushed the second victim to Jackson Memorial Hospital, where he is listed in stable condition. Police are not identifying the man for investigative reasons.

Detectives are now searching for the gunman and suspects are believed to have taken off in three separate vehicles.

Police said someone in one of the cars was seen carrying a gun as they sped away from officers.

While police pursued one of the vehicles, two Miami Beach patrol cars were involved in a crash near 91st Street and Harding Avenue. The officers suffered only minor injuries.

An officer heard the shots and rushed to the scene. A vehicle possibly linked to the double shooting was located nearby, while a second vehicle was driven away. During a pursuit, an officer witnessed someone inside that second vehicle display a gun, but the driver got away.

No arrests have been made. The Miami Beach Police Department is asking anyone with information about the shooting to contact Miami-Dade Crime Stoppers at 305-471-TIPS.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/florida/miami-beach/rapper-aab-hellabandz-killed-outside-south-beach-nightclub,2019-05-12T18:50:19Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA"
Florida Man Kills Wife Because She Was Speaking Disrespectfully,"<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" /> Police in Florida say a man told them he fatally shot his wife because she was talking to him disrespectfully.",https://miami.cbslocal.com/2019/05/12/florida-man-kills-wife-speaking-disrespectfully/,2019-05-12T16:11:33Z,CBS Miami,"8900 NW 18th Terrace, Doral, FL 33172, USA"
"Florida man sought after breaking into home, taking daughter by force, police say","A Florida father may be heading to another state after breaking into a home and taking off with his 8-year-old daughter, authorities said Saturday.

Tawfik Dimion Hart, 34, grabbed his daughter, Janessa, from inside a home and “shoved” a caregiver out of the way as he ran off with the child, the Hillsborough County Sheriff’s Office said.

FLORIDA MAN SAYS HE WOULD RATHER 'GO TO JAIL' THAN TO HIS WIFE AS HE GETS CAUGHT DRIVING ON SUNROOF

Police also believe Hart has his 10-month-old son, Tawfik Dimion Hart Jr., with him.

The Sheriff’s Office believes Hart may be driving to Tifton County, Ga., in a 2008 Cadillac DeVille. The vehicle is white with a red roof and has Georgia tags, police said.

The children are not believed to be in any danger, police said. Hart doesn’t have any court-ordered restrictions against him in regard to his children.

CLICK HERE TO GET THE FOX NEWS APP

Hart faces charges of burglary with battery and interference with child custody, WFLA-TV reported.

Anyone with information about the suspect should contact 911 or the Hillsborough County Sheriff's Office at (813) 247-8200.",https://www.foxnews.com/us/florida-man-breaking-into-home-taking-daughter-by-force,2019-05-12T15:36:34Z,Fox News,"1211 Avenue of the Americas New York, NY 10036"
"Florida Man Shoots Raccoon Off Boat, FWC Investigating","<img width=""150"" height=""103"" src=""https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/01/gun-pointed-to-side.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A Florida attorney could be facing charges after posting a video on social media showing him kill an animal.",https://miami.cbslocal.com/2019/05/12/florida-man-shoots-raccoon-off-boat/,2019-05-12T15:15:36Z,CBS Miami,"8900 NW 18th Terrace, Doral, FL 33172, USA"
Tall grass fines lead city to foreclose on Florida man's home,"Sign in using you account with: {* loginWidget *}

Sign in using your wftv profile

Welcome back. Please sign in

Why are we asking this?

By submitting your registration information, you agree to our Terms of Service and Privacy Policy .

Already have an account?

We have sent a confirmation email to {* data_emailAddress *}. Please check your email and click on the link to activate your account.

Thank you for registering!

Thank you for registering!

We look forward to seeing you on [website] frequently. Visit us and sign in to update your profile, receive the latest news and keep up to date with mobile alerts.

Click here to return to the page you were visiting.",https://www.wftv.com/news/florida/tall-grass-fines-lead-city-to-foreclose-on-florida-man-s-home/948607144,2019-05-12T15:01:11Z,WFTV,"490 E South St, Orlando, FL 32801, USA"
"Florida Man Speeds Down Highway While Standing Out Of Sunroof, Says He’d Rather Go To Jail Than Home To His Wife","<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/a-tz1-vo-sunroof-drive_wfor0pr5_1.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" />A Florida man decided he wanted to drive his car on a busy
expressway while standing through his sunroof.",https://miami.cbslocal.com/2019/05/12/florida-man-highway-standing-out-sunroof/,2019-05-12T14:01:15Z,CBS Miami,"8900 NW 18th Terrace, Doral, FL 33172, USA"
"Man dead after downtown shooting, according to JSO","<p>A man in his 30's was shot several times on the corner of Church and Ocean Streets in downtown Jacksonville around 5:15 a.m. Sunday, according to the Jacksonville Sheriff's Office. </p><p>The wounded man was taken to the University of Florida Health, where he died shortly afterward.</p><p>Investigators said the man was standing outside a black and silver car when he was shot. Detectives are not sure who the car belongs to.</p><p>The area is littered with evidence markers that JSO said shows where gunshot casing landed.</p><p>Police are asking for the community's help to locate the shooter. If you have any information about the deadly shooting, you're asked to call Crime Stoppers at 1-866-845-TIPS (8477). </p><p> </p>",https://www.news4jax.com/top-stories/one-man-killed-in-downtown-shooting-according-to-jso,2019-05-12T13:08:21Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA"
Police: Florida man says he shot wife over 'disrespect',"PLANTATION, Fla. - A 73-year-old man shot his wife in the face this week inside their Plantation home, then walked to a neighbor's house and confessed that he'd killed her, authorities said.

Plantation police investigators said Fernando De Baere told them he shot Marisa Sherman, 47, because she wouldn't stop speaking disrespectfully.

Plantation police said De Baere shot her in the face, returned his .38-caliber handgun to a bedroom and then walked to a neighbor’s house to confess. The neighbor called 911.

Police said De Baere admitted to shooting his wife ""one or two times"" in the face while standing about 3 feet away from her.

De Baere was charged with murder and jailed without bond Saturday. Records did not show if he has an attorney.

Police say De Baere told them he shot his wife because he did not like the way she was talking to him during an argument. A police report says De Baere told officers exactly where to find the weapon.

Copyright 2019 by WPLG Local10.com. The Associated Press contributed to this report. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",https://www.news4jax.com/news/police-florida-man-says-he-shot-wife-over-disrespect,2019-05-12T11:53:34Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA"
Tall grass fines lead city to foreclose on home,"DUNEDIN, Fla. - It’s true, a Florida man says his grass grew a little too tall. But he doesn’t think he should lose his house over it.

The city of Dunedin moved to foreclose on the home of 69-year-old Jim Ficken over $30,000 in unpaid code violation fines. The Tampa Bay Times reports that Ficken was fined $500 a day last summer because his grass was taller than 10 inches.

Ficken filed a lawsuit against the city seeking a nominal $1 in damages, relief from fines and an end to the city’s practice of fining people without considering ability to pay.

Last summer, Ficken says he was away for lengthy periods managing the estate of his deceased mother in South Carolina. Ficken says the man paid to mow his lawn then died unexpectedly.

Copyright 2019 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",https://www.news4jax.com/news/florida/tall-grass-fines-lead-city-to-foreclose-on-home,2019-05-12T11:18:59Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA"
Tall grass fines lead Florida city to foreclose man's home,"DUNEDIN, Fla. (AP) — It's true, a Florida man says his grass grew a little too tall. But he doesn't think he should lose his house over it.

The city of Dunedin moved to foreclose on the home of 69-year-old Jim Ficken over $30,000 in unpaid code violation fines. The Tampa Bay Times reports that Ficken was fined $500 a day last summer because his grass was taller than 10 inches.

Ficken filed a lawsuit against the city seeking a nominal $1 in damages, relief from fines and an end to the city's practice of fining people without considering ability to pay.

Last summer, Ficken says he was away for lengthy periods managing the estate of his deceased mother in South Carolina. Ficken says the man paid to mow his lawn then died unexpectedly.

Read or Share this story: https://www.tennessean.com/story/news/2019/05/12/tall-grass-forclose-home-dunedin-florida/1183125001/",http://rssfeeds.tennessean.com/~/601888398/0/nashville/home~Tall-grass-fines-lead-Florida-city-to-foreclose-manaposs-home/,2019-05-12T11:17:58Z,The Tennessean,"1100 Broadway, Nashville, TN 37203, USA"
